# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/a150.html
# 
# A-150 Tissue-Equivalent Plastic
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.259e+03,2.256e+03
1.500e-03,7.282e+02,7.267e+02
2.000e-03,3.183e+02,3.172e+02
3.000e-03,9.652e+01,9.576e+01
4.000e-03,4.081e+01,4.021e+01
4.038e-03,3.966e+01,3.907e+01
4.038e-03,5.629e+01,5.326e+01
5.000e-03,3.069e+01,2.901e+01
6.000e-03,1.813e+01,1.708e+01
8.000e-03,7.914e+00,7.337e+00
1.000e-02,4.186e+00,3.771e+00
1.500e-02,1.394e+00,1.106e+00
2.000e-02,7.068e-01,4.605e-01
3.000e-02,3.481e-01,1.378e-01
4.000e-02,2.562e-01,6.411e-02
5.000e-02,2.198e-01,4.018e-02
6.000e-02,2.008e-01,3.095e-02
8.000e-02,1.803e-01,2.561e-02
1.000e-01,1.680e-01,2.520e-02
1.500e-01,1.485e-01,2.736e-02
2.000e-01,1.353e-01,2.937e-02
3.000e-01,1.173e-01,3.159e-02
4.000e-01,1.049e-01,3.245e-02
5.000e-01,9.579e-02,3.265e-02
6.000e-01,8.857e-02,3.249e-02
8.000e-01,7.777e-02,3.172e-02
1.000e+00,6.992e-02,3.070e-02
1.250e+00,6.253e-02,2.934e-02
1.500e+00,5.691e-02,2.805e-02
2.000e+00,4.880e-02,2.578e-02
3.000e+00,3.907e-02,2.247e-02
4.000e+00,3.335e-02,2.025e-02
5.000e+00,2.958e-02,1.867e-02
6.000e+00,2.690e-02,1.751e-02
8.000e+00,2.338e-02,1.592e-02
1.000e+01,2.117e-02,1.489e-02
1.500e+01,1.819e-02,1.346e-02
2.000e+01,1.675e-02,1.275e-02
# end of file
