# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/air.html
# 
# Air, Dry
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.606e+03,3.599e+03
1.500e-03,1.191e+03,1.188e+03
2.000e-03,5.279e+02,5.262e+02
3.000e-03,1.625e+02,1.614e+02
3.203e-03,1.340e+02,1.330e+02
3.203e-03,1.485e+02,1.460e+02
4.000e-03,7.788e+01,7.636e+01
5.000e-03,4.027e+01,3.931e+01
6.000e-03,2.341e+01,2.270e+01
8.000e-03,9.921e+00,9.446e+00
1.000e-02,5.120e+00,4.742e+00
1.500e-02,1.614e+00,1.334e+00
2.000e-02,7.779e-01,5.389e-01
3.000e-02,3.538e-01,1.537e-01
4.000e-02,2.485e-01,6.833e-02
5.000e-02,2.080e-01,4.098e-02
6.000e-02,1.875e-01,3.041e-02
8.000e-02,1.662e-01,2.407e-02
1.000e-01,1.541e-01,2.325e-02
1.500e-01,1.356e-01,2.496e-02
2.000e-01,1.233e-01,2.672e-02
3.000e-01,1.067e-01,2.872e-02
4.000e-01,9.549e-02,2.949e-02
5.000e-01,8.712e-02,2.966e-02
6.000e-01,8.055e-02,2.953e-02
8.000e-01,7.074e-02,2.882e-02
1.000e+00,6.358e-02,2.789e-02
1.250e+00,5.687e-02,2.666e-02
1.500e+00,5.175e-02,2.547e-02
2.000e+00,4.447e-02,2.345e-02
3.000e+00,3.581e-02,2.057e-02
4.000e+00,3.079e-02,1.870e-02
5.000e+00,2.751e-02,1.740e-02
6.000e+00,2.522e-02,1.647e-02
8.000e+00,2.225e-02,1.525e-02
1.000e+01,2.045e-02,1.450e-02
1.500e+01,1.810e-02,1.353e-02
2.000e+01,1.705e-02,1.311e-02
# end of file
