# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/b100.html
# 
# B-100 Bone-Equivalent Plastic
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.211e+03,3.203e+03
1.500e-03,1.083e+03,1.080e+03
2.000e-03,4.878e+02,4.859e+02
3.000e-03,1.542e+02,1.530e+02
4.000e-03,6.717e+01,6.623e+01
4.038e-03,6.535e+01,6.442e+01
4.038e-03,2.251e+02,2.008e+02
5.000e-03,1.298e+02,1.178e+02
6.000e-03,7.942e+01,7.294e+01
8.000e-03,3.619e+01,3.363e+01
1.000e-02,1.944e+01,1.812e+01
1.500e-02,6.222e+00,5.694e+00
2.000e-02,2.798e+00,2.452e+00
3.000e-02,9.752e-01,7.337e-01
4.000e-02,5.179e-01,3.124e-01
5.000e-02,3.506e-01,1.648e-01
6.000e-02,2.738e-01,1.014e-01
8.000e-02,2.076e-01,5.372e-02
1.000e-01,1.793e-01,3.864e-02
1.500e-01,1.482e-01,3.031e-02
2.000e-01,1.325e-01,2.984e-02
3.000e-01,1.135e-01,3.081e-02
4.000e-01,1.012e-01,3.135e-02
5.000e-01,9.227e-02,3.145e-02
6.000e-01,8.525e-02,3.126e-02
8.000e-01,7.481e-02,3.047e-02
1.000e+00,6.723e-02,2.947e-02
1.250e+00,6.012e-02,2.815e-02
1.500e+00,5.473e-02,2.691e-02
2.000e+00,4.705e-02,2.478e-02
3.000e+00,3.799e-02,2.180e-02
4.000e+00,3.277e-02,1.989e-02
5.000e+00,2.938e-02,1.858e-02
6.000e+00,2.703e-02,1.765e-02
8.000e+00,2.400e-02,1.644e-02
1.000e+01,2.218e-02,1.571e-02
1.500e+01,1.987e-02,1.478e-02
2.000e+01,1.888e-02,1.438e-02
# end of file
