# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/bakelite.html
# 
# Bakelite
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.484e+03,2.480e+03
1.500e-03,8.027e+02,8.010e+02
2.000e-03,3.512e+02,3.500e+02
3.000e-03,1.065e+02,1.057e+02
4.000e-03,4.494e+01,4.433e+01
5.000e-03,2.288e+01,2.237e+01
6.000e-03,1.315e+01,1.272e+01
8.000e-03,5.521e+00,5.162e+00
1.000e-02,2.860e+00,2.545e+00
1.500e-02,9.552e-01,6.961e-01
2.000e-02,5.089e-01,2.779e-01
3.000e-02,2.824e-01,8.135e-02
4.000e-02,2.241e-01,3.988e-02
5.000e-02,2.000e-01,2.754e-02
6.000e-02,1.866e-01,2.340e-02
8.000e-02,1.707e-01,2.200e-02
1.000e-01,1.602e-01,2.292e-02
1.500e-01,1.424e-01,2.594e-02
2.000e-01,1.300e-01,2.809e-02
3.000e-01,1.127e-01,3.033e-02
4.000e-01,1.009e-01,3.118e-02
5.000e-01,9.210e-02,3.138e-02
6.000e-01,8.516e-02,3.124e-02
8.000e-01,7.478e-02,3.049e-02
1.000e+00,6.723e-02,2.951e-02
1.250e+00,6.013e-02,2.821e-02
1.500e+00,5.472e-02,2.696e-02
2.000e+00,4.694e-02,2.479e-02
3.000e+00,3.761e-02,2.163e-02
4.000e+00,3.215e-02,1.951e-02
5.000e+00,2.854e-02,1.802e-02
6.000e+00,2.599e-02,1.692e-02
8.000e+00,2.264e-02,1.543e-02
1.000e+01,2.055e-02,1.447e-02
1.500e+01,1.775e-02,1.315e-02
2.000e+01,1.641e-02,1.249e-02
# end of file
