# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/blood.html
# 
# Blood, Whole
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.806e+03,3.795e+03
1.035e-03,3.473e+03,3.462e+03
1.072e-03,3.167e+03,3.158e+03
1.072e-03,3.173e+03,3.164e+03
1.500e-03,1.282e+03,1.278e+03
2.000e-03,5.737e+02,5.718e+02
2.145e-03,4.700e+02,4.682e+02
2.145e-03,4.722e+02,4.703e+02
2.303e-03,3.858e+02,3.841e+02
2.472e-03,3.149e+02,3.134e+02
2.472e-03,3.186e+02,3.168e+02
2.641e-03,2.633e+02,2.618e+02
2.822e-03,2.175e+02,2.161e+02
2.822e-03,2.219e+02,2.201e+02
3.000e-03,1.862e+02,1.846e+02
3.607e-03,1.088e+02,1.076e+02
3.607e-03,1.109e+02,1.094e+02
4.000e-03,8.187e+01,8.066e+01
5.000e-03,4.232e+01,4.147e+01
6.000e-03,2.458e+01,2.393e+01
7.112e-03,1.479e+01,1.425e+01
7.112e-03,1.514e+01,1.450e+01
8.000e-03,1.068e+01,1.013e+01
1.000e-02,5.519e+00,5.096e+00
1.500e-02,1.744e+00,1.440e+00
2.000e-02,8.428e-01,5.831e-01
3.000e-02,3.852e-01,1.669e-01
4.000e-02,2.715e-01,7.443e-02
5.000e-02,2.278e-01,4.477e-02
6.000e-02,2.057e-01,3.332e-02
8.000e-02,1.827e-01,2.645e-02
1.000e-01,1.695e-01,2.559e-02
1.500e-01,1.492e-01,2.749e-02
2.000e-01,1.358e-01,2.944e-02
3.000e-01,1.176e-01,3.164e-02
4.000e-01,1.052e-01,3.249e-02
5.000e-01,9.598e-02,3.269e-02
6.000e-01,8.874e-02,3.254e-02
8.000e-01,7.793e-02,3.177e-02
1.000e+00,7.007e-02,3.074e-02
1.250e+00,6.265e-02,2.938e-02
1.500e+00,5.701e-02,2.807e-02
2.000e+00,4.896e-02,2.584e-02
3.000e+00,3.932e-02,2.260e-02
4.000e+00,3.371e-02,2.046e-02
5.000e+00,3.002e-02,1.897e-02
6.000e+00,2.743e-02,1.788e-02
8.000e+00,2.405e-02,1.642e-02
1.000e+01,2.196e-02,1.550e-02
1.500e+01,1.920e-02,1.425e-02
2.000e+01,1.793e-02,1.366e-02
# end of file
