# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/bone.html
# 
# Bone, Cortical
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.781e+03,3.772e+03
1.035e-03,3.452e+03,3.444e+03
1.072e-03,3.150e+03,3.143e+03
1.072e-03,3.156e+03,3.149e+03
1.183e-03,2.434e+03,2.429e+03
1.305e-03,1.873e+03,1.869e+03
1.305e-03,1.883e+03,1.878e+03
1.500e-03,1.295e+03,1.291e+03
2.000e-03,5.869e+02,5.846e+02
2.145e-03,4.824e+02,4.803e+02
2.145e-03,7.114e+02,6.961e+02
2.303e-03,5.916e+02,5.789e+02
2.472e-03,4.907e+02,4.805e+02
2.472e-03,4.962e+02,4.857e+02
3.000e-03,2.958e+02,2.897e+02
4.000e-03,1.331e+02,1.303e+02
4.038e-03,1.296e+02,1.269e+02
4.038e-03,3.332e+02,3.006e+02
5.000e-03,1.917e+02,1.757e+02
6.000e-03,1.171e+02,1.085e+02
8.000e-03,5.323e+01,4.987e+01
1.000e-02,2.851e+01,2.680e+01
1.500e-02,9.032e+00,8.388e+00
2.000e-02,4.001e+00,3.601e+00
3.000e-02,1.331e+00,1.070e+00
4.000e-02,6.655e-01,4.507e-01
5.000e-02,4.242e-01,2.336e-01
6.000e-02,3.148e-01,1.400e-01
8.000e-02,2.229e-01,6.896e-02
1.000e-01,1.855e-01,4.585e-02
1.500e-01,1.480e-01,3.183e-02
2.000e-01,1.309e-01,3.003e-02
3.000e-01,1.113e-01,3.032e-02
4.000e-01,9.908e-02,3.069e-02
5.000e-01,9.022e-02,3.073e-02
6.000e-01,8.332e-02,3.052e-02
8.000e-01,7.308e-02,2.973e-02
1.000e+00,6.566e-02,2.875e-02
1.250e+00,5.871e-02,2.745e-02
1.500e+00,5.346e-02,2.623e-02
2.000e+00,4.607e-02,2.421e-02
3.000e+00,3.745e-02,2.145e-02
4.000e+00,3.257e-02,1.975e-02
5.000e+00,2.946e-02,1.864e-02
6.000e+00,2.734e-02,1.788e-02
8.000e+00,2.467e-02,1.695e-02
1.000e+01,2.314e-02,1.644e-02
1.500e+01,2.132e-02,1.587e-02
2.000e+01,2.068e-02,1.568e-02
# end of file
