# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/breast.html
# 
# Breast Tissue
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.263e+03,3.255e+03
1.035e-03,2.975e+03,2.967e+03
1.072e-03,2.710e+03,2.703e+03
1.072e-03,2.716e+03,2.709e+03
1.500e-03,1.088e+03,1.085e+03
2.000e-03,4.842e+02,4.825e+02
2.145e-03,3.961e+02,3.946e+02
2.145e-03,3.983e+02,3.967e+02
2.303e-03,3.250e+02,3.235e+02
2.472e-03,2.649e+02,2.636e+02
2.472e-03,2.686e+02,2.670e+02
2.641e-03,2.221e+02,2.204e+02
2.822e-03,1.831e+02,1.818e+02
2.822e-03,1.845e+02,1.831e+02
3.000e-03,1.546e+02,1.533e+02
4.000e-03,6.625e+01,6.540e+01
5.000e-03,3.407e+01,3.341e+01
6.000e-03,1.972e+01,1.918e+01
8.000e-03,8.320e+00,7.899e+00
1.000e-02,4.295e+00,3.937e+00
1.500e-02,1.378e+00,1.094e+00
2.000e-02,6.889e-01,4.394e-01
3.000e-02,3.403e-01,1.260e-01
4.000e-02,2.530e-01,5.792e-02
5.000e-02,2.186e-01,3.666e-02
6.000e-02,2.006e-01,2.881e-02
8.000e-02,1.808e-01,2.470e-02
1.000e-01,1.688e-01,2.478e-02
1.500e-01,1.493e-01,2.734e-02
2.000e-01,1.361e-01,2.945e-02
3.000e-01,1.179e-01,3.173e-02
4.000e-01,1.055e-01,3.260e-02
5.000e-01,9.631e-02,3.281e-02
6.000e-01,8.904e-02,3.266e-02
8.000e-01,7.820e-02,3.188e-02
1.000e+00,7.031e-02,3.086e-02
1.250e+00,6.287e-02,2.949e-02
1.500e+00,5.721e-02,2.818e-02
2.000e+00,4.910e-02,2.592e-02
3.000e+00,3.937e-02,2.264e-02
4.000e+00,3.369e-02,2.045e-02
5.000e+00,2.995e-02,1.891e-02
6.000e+00,2.731e-02,1.779e-02
8.000e+00,2.384e-02,1.626e-02
1.000e+01,2.169e-02,1.529e-02
1.500e+01,1.882e-02,1.395e-02
2.000e+01,1.746e-02,1.330e-02
# end of file
