# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/fluoride.html
# 
# Calcium Fluoride
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,5.248e+03,5.228e+03
1.500e-03,1.843e+03,1.836e+03
2.000e-03,8.509e+02,8.472e+02
3.000e-03,2.779e+02,2.757e+02
4.000e-03,1.237e+02,1.220e+02
4.038e-03,1.204e+02,1.187e+02
4.038e-03,5.848e+02,5.151e+02
5.000e-03,3.410e+02,3.070e+02
6.000e-03,2.100e+02,1.919e+02
8.000e-03,9.642e+01,8.965e+01
1.000e-02,5.194e+01,4.867e+01
1.500e-02,1.651e+01,1.546e+01
2.000e-02,7.255e+00,6.692e+00
3.000e-02,2.313e+00,2.002e+00
4.000e-02,1.077e+00,8.405e-01
5.000e-02,6.311e-01,4.298e-01
6.000e-02,4.311e-01,2.512e-01
8.000e-02,2.674e-01,1.137e-01
1.000e-01,2.048e-01,6.741e-02
1.500e-01,1.491e-01,3.681e-02
2.000e-01,1.278e-01,3.112e-02
3.000e-01,1.067e-01,2.944e-02
4.000e-01,9.437e-02,2.933e-02
5.000e-01,8.570e-02,2.920e-02
6.000e-01,7.905e-02,2.892e-02
8.000e-01,6.924e-02,2.811e-02
1.000e+00,6.217e-02,2.715e-02
1.250e+00,5.558e-02,2.591e-02
1.500e+00,5.065e-02,2.476e-02
2.000e+00,4.380e-02,2.290e-02
3.000e+00,3.606e-02,2.058e-02
4.000e+00,3.184e-02,1.927e-02
5.000e+00,2.923e-02,1.850e-02
6.000e+00,2.753e-02,1.804e-02
8.000e+00,2.553e-02,1.758e-02
1.000e+01,2.450e-02,1.743e-02
1.500e+01,2.356e-02,1.745e-02
2.000e+01,2.351e-02,1.759e-02
# end of file
