# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/ceric.html
# 
# 15 mmol L-1 Ceric Ammonium Sulfate Solution
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.075e+03,4.062e+03
1.089e-03,3.259e+03,3.249e+03
1.185e-03,2.600e+03,2.592e+03
1.185e-03,2.602e+03,2.594e+03
1.228e-03,2.366e+03,2.359e+03
1.273e-03,2.150e+03,2.144e+03
1.273e-03,2.151e+03,2.145e+03
1.352e-03,1.827e+03,1.822e+03
1.437e-03,1.551e+03,1.546e+03
1.437e-03,1.551e+03,1.547e+03
1.500e-03,1.379e+03,1.375e+03
2.000e-03,6.195e+02,6.174e+02
2.472e-03,3.391e+02,3.375e+02
2.472e-03,3.655e+02,3.621e+02
3.000e-03,2.113e+02,2.091e+02
4.000e-03,9.165e+01,9.039e+01
5.000e-03,4.753e+01,4.664e+01
5.723e-03,3.184e+01,3.111e+01
5.723e-03,3.256e+01,3.175e+01
6.000e-03,2.832e+01,2.757e+01
6.164e-03,2.613e+01,2.541e+01
6.164e-03,2.647e+01,2.570e+01
6.354e-03,2.464e+01,2.347e+01
6.549e-03,2.213e+01,2.143e+01
6.549e-03,2.229e+01,2.158e+01
8.000e-03,1.234e+01,1.179e+01
1.000e-02,6.394e+00,5.964e+00
1.500e-02,2.015e+00,1.702e+00
2.000e-02,9.608e-01,6.944e-01
3.000e-02,4.224e-01,1.999e-01
4.000e-02,2.884e-01,8.832e-02
4.044e-02,2.851e-01,8.580e-02
4.044e-02,3.285e-01,9.378e-02
5.000e-02,2.623e-01,6.041e-02
6.000e-02,2.272e-01,4.444e-02
8.000e-02,1.930e-01,3.243e-02
1.000e-01,1.755e-01,2.914e-02
1.500e-01,1.517e-01,2.884e-02
2.000e-01,1.373e-01,3.015e-02
3.000e-01,1.184e-01,3.199e-02
4.000e-01,1.058e-01,3.275e-02
5.000e-01,9.655e-02,3.291e-02
6.000e-01,8.925e-02,3.274e-02
8.000e-01,7.836e-02,3.195e-02
1.000e+00,7.045e-02,3.091e-02
1.250e+00,6.299e-02,2.953e-02
1.500e+00,5.732e-02,2.822e-02
2.000e+00,4.924e-02,2.598e-02
3.000e+00,3.957e-02,2.274e-02
4.000e+00,3.395e-02,2.061e-02
5.000e+00,3.027e-02,1.913e-02
6.000e+00,2.769e-02,1.805e-02
8.000e+00,2.432e-02,1.661e-02
1.000e+01,2.226e-02,1.572e-02
1.500e+01,1.953e-02,1.451e-02
2.000e+01,1.829e-02,1.394e-02
# end of file
