# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/concrete.html
# 
# Concrete, Ordinary
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.035e-03,3.164e+03,3.156e+03
1.072e-03,2.889e+03,2.880e+03
1.072e-03,2.978e+03,2.968e+03
1.183e-03,2.302e+03,2.295e+03
1.305e-03,1.775e+03,1.769e+03
1.305e-03,1.781e+03,1.775e+03
1.500e-03,1.227e+03,1.223e+03
1.560e-03,1.104e+03,1.100e+03
1.560e-03,1.176e+03,1.169e+03
1.693e-03,9.419e+02,9.365e+02
1.839e-03,7.525e+02,7.482e+02
1.839e-03,1.631e+03,1.587e+03
2.000e-03,1.368e+03,1.333e+03
3.000e-03,4.646e+02,4.552e+02
3.607e-03,2.804e+02,2.751e+02
3.607e-03,2.911e+02,2.844e+02
4.000e-03,2.188e+02,2.139e+02
4.038e-03,2.131e+02,2.084e+02
4.038e-03,2.520e+02,2.415e+02
5.000e-03,1.401e+02,1.348e+02
6.000e-03,8.401e+01,8.094e+01
7.112e-03,5.187e+01,4.995e+01
7.112e-03,5.415e+01,5.153e+01
8.000e-03,3.878e+01,3.689e+01
1.000e-02,2.045e+01,1.937e+01
1.500e-02,6.351e+00,5.855e+00
2.000e-02,2.806e+00,2.462e+00
3.000e-02,9.601e-01,7.157e-01
4.000e-02,5.058e-01,2.995e-01
5.000e-02,3.412e-01,1.563e-01
6.000e-02,2.660e-01,9.554e-02
8.000e-02,2.014e-01,5.050e-02
1.000e-01,1.738e-01,3.649e-02
1.500e-01,1.436e-01,2.897e-02
2.000e-01,1.282e-01,2.868e-02
3.000e-01,1.097e-01,2.969e-02
4.000e-01,9.783e-02,3.024e-02
5.000e-01,8.915e-02,3.033e-02
6.000e-01,8.236e-02,3.015e-02
8.000e-01,7.227e-02,2.940e-02
1.000e+00,6.495e-02,2.843e-02
1.250e+00,5.807e-02,2.716e-02
1.500e+00,5.288e-02,2.595e-02
2.000e+00,4.557e-02,2.395e-02
3.000e+00,3.701e-02,2.120e-02
4.000e+00,3.217e-02,1.951e-02
5.000e+00,2.908e-02,1.840e-02
6.000e+00,2.697e-02,1.763e-02
8.000e+00,2.432e-02,1.669e-02
1.000e+01,2.278e-02,1.617e-02
1.500e+01,2.096e-02,1.559e-02
2.000e+01,2.030e-02,1.539e-02
# end of file
