# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/concreteba.html
# 
# Concrete, Barite
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,6.349e+03,6.332e+03
1.031e-03,5.916e+03,5.900e+03
1.062e-03,5.507e+03,5.492e+03
1.062e-03,6.009e+03,5.992e+03
1.099e-03,5.563e+03,5.548e+03
1.137e-03,5.150e+03,5.135e+03
1.137e-03,5.350e+03,5.335e+03
1.212e-03,4.632e+03,4.619e+03
1.293e-03,4.001e+03,3.990e+03
1.293e-03,4.126e+03,4.114e+03
1.299e-03,4.082e+03,4.070e+03
1.305e-03,4.038e+03,4.026e+03
1.305e-03,4.044e+03,4.032e+03
1.500e-03,2.917e+03,2.908e+03
1.560e-03,2.659e+03,2.650e+03
1.560e-03,2.674e+03,2.665e+03
1.693e-03,2.195e+03,2.187e+03
1.839e-03,1.798e+03,1.791e+03
1.839e-03,1.828e+03,1.820e+03
2.000e-03,1.491e+03,1.483e+03
2.472e-03,8.795e+02,8.738e+02
2.472e-03,1.079e+03,1.059e+03
3.000e-03,6.692e+02,6.568e+02
4.000e-03,3.190e+02,3.126e+02
4.038e-03,3.113e+02,3.050e+02
4.038e-03,3.567e+02,3.437e+02
5.000e-03,2.048e+02,1.973e+02
5.247e-03,1.805e+02,1.738e+02
5.247e-03,3.641e+02,3.408e+02
5.432e-03,3.352e+02,3.141e+02
5.624e-03,3.069e+02,2.880e+02
5.624e-03,3.925e+02,3.645e+02
5.803e-03,3.633e+02,3.379e+02
5.989e-03,3.353e+02,3.123e+02
5.989e-03,3.778e+02,3.510e+02
6.000e-03,3.760e+02,3.493e+02
7.112e-03,2.437e+02,2.281e+02
7.112e-03,2.605e+02,2.398e+02
8.000e-03,1.925e+02,1.782e+02
1.000e-02,1.067e+02,9.960e+01
1.500e-02,3.601e+01,3.363e+01
2.000e-02,1.655e+01,1.527e+01
3.000e-02,5.551e+00,4.912e+00
3.744e-02,3.091e+00,2.624e+00
3.744e-02,1.407e+01,4.746e+00
4.000e-02,1.185e+01,4.439e+00
5.000e-02,6.671e+00,3.206e+00
6.000e-02,4.143e+00,2.266e+00
8.000e-02,1.968e+00,1.211e+00
1.000e-01,1.122e+00,7.138e-01
1.500e-01,4.423e-01,2.659e-01
2.000e-01,2.568e-01,1.369e-01
3.000e-01,1.460e-01,6.408e-02
4.000e-01,1.104e-01,4.471e-02
5.000e-01,9.309e-02,3.718e-02
6.000e-01,8.245e-02,3.340e-02
8.000e-01,6.936e-02,2.954e-02
1.000e+00,6.112e-02,2.736e-02
1.250e+00,5.404e-02,2.542e-02
1.500e+00,4.915e-02,2.402e-02
2.000e+00,4.296e-02,2.226e-02
3.000e+00,3.676e-02,2.079e-02
4.000e+00,3.388e-02,2.043e-02
5.000e+00,3.240e-02,2.049e-02
6.000e+00,3.162e-02,2.074e-02
8.000e+00,3.116e-02,2.142e-02
1.000e+01,3.138e-02,2.213e-02
1.500e+01,3.282e-02,2.356e-02
2.000e+01,3.439e-02,2.438e-02
# end of file
