# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/eye.html
# 
# Eye Lens
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.599e+03,3.588e+03
1.035e-03,3.282e+03,3.273e+03
1.072e-03,2.992e+03,2.984e+03
1.072e-03,2.998e+03,2.989e+03
1.500e-03,1.206e+03,1.203e+03
2.000e-03,5.386e+02,5.368e+02
2.145e-03,4.410e+02,4.393e+02
2.145e-03,4.432e+02,4.414e+02
2.303e-03,3.619e+02,3.603e+02
2.472e-03,2.952e+02,2.938e+02
2.472e-03,3.007e+02,2.989e+02
2.641e-03,2.485e+02,2.469e+02
2.822e-03,2.053e+02,2.038e+02
2.822e-03,2.067e+02,2.051e+02
3.000e-03,1.733e+02,1.719e+02
4.000e-03,7.446e+01,7.353e+01
5.000e-03,3.834e+01,3.764e+01
6.000e-03,2.221e+01,2.163e+01
8.000e-03,9.372e+00,8.931e+00
1.000e-02,4.829e+00,4.458e+00
1.500e-02,1.531e+00,1.242e+00
2.000e-02,7.510e-01,4.988e-01
3.000e-02,3.570e-01,1.421e-01
4.000e-02,2.590e-01,6.418e-02
5.000e-02,2.209e-01,3.961e-02
6.000e-02,2.013e-01,3.035e-02
8.000e-02,1.803e-01,2.518e-02
1.000e-01,1.679e-01,2.490e-02
1.500e-01,1.482e-01,2.719e-02
2.000e-01,1.350e-01,2.922e-02
3.000e-01,1.169e-01,3.146e-02
4.000e-01,1.046e-01,3.231e-02
5.000e-01,9.547e-02,3.252e-02
6.000e-01,8.827e-02,3.237e-02
8.000e-01,7.752e-02,3.160e-02
1.000e+00,6.969e-02,3.058e-02
1.250e+00,6.232e-02,2.922e-02
1.500e+00,5.671e-02,2.793e-02
2.000e+00,4.869e-02,2.570e-02
3.000e+00,3.908e-02,2.247e-02
4.000e+00,3.349e-02,2.033e-02
5.000e+00,2.981e-02,1.883e-02
6.000e+00,2.722e-02,1.774e-02
8.000e+00,2.383e-02,1.626e-02
1.000e+01,2.174e-02,1.534e-02
1.500e+01,1.896e-02,1.407e-02
2.000e+01,1.767e-02,1.346e-02
# end of file
