# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/fricke.html
# 
# Ferrous Sulfate, Standard Fricke
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.067e+03,4.054e+03
1.035e-03,3.712e+03,3.700e+03
1.072e-03,3.387e+03,3.376e+03
1.072e-03,3.387e+03,3.376e+03
1.500e-03,1.372e+03,1.369e+03
2.000e-03,6.159e+02,6.138e+02
2.472e-03,3.368e+02,3.353e+02
2.472e-03,3.601e+02,3.569e+02
2.641e-03,2.985e+02,2.958e+02
2.822e-03,2.473e+02,2.449e+02
2.822e-03,2.473e+02,2.449e+02
3.000e-03,2.078e+02,2.057e+02
4.000e-03,8.993e+01,8.872e+01
5.000e-03,4.654e+01,4.569e+01
6.000e-03,2.706e+01,2.639e+01
7.112e-03,1.628e+01,1.573e+01
7.112e-03,1.630e+01,1.574e+01
8.000e-03,1.147e+01,1.098e+01
1.000e-02,5.914e+00,5.511e+00
1.500e-02,1.853e+00,1.548e+00
2.000e-02,8.864e-01,6.245e-01
3.000e-02,3.979e-01,1.772e-01
4.000e-02,2.773e-01,7.829e-02
5.000e-02,2.313e-01,4.659e-02
6.000e-02,2.082e-01,3.433e-02
8.000e-02,1.843e-01,2.690e-02
1.000e-01,1.708e-01,2.588e-02
1.500e-01,1.503e-01,2.769e-02
2.000e-01,1.367e-01,2.963e-02
3.000e-01,1.183e-01,3.184e-02
4.000e-01,1.058e-01,3.269e-02
5.000e-01,9.657e-02,3.289e-02
6.000e-01,8.928e-02,3.273e-02
8.000e-01,7.841e-02,3.196e-02
1.000e+00,7.050e-02,3.093e-02
1.250e+00,6.304e-02,2.955e-02
1.500e+00,5.736e-02,2.824e-02
2.000e+00,4.927e-02,2.600e-02
3.000e+00,3.958e-02,2.275e-02
4.000e+00,3.396e-02,2.061e-02
5.000e+00,3.027e-02,1.912e-02
6.000e+00,2.767e-02,1.804e-02
8.000e+00,2.429e-02,1.659e-02
1.000e+01,2.222e-02,1.568e-02
1.500e+01,1.947e-02,1.446e-02
2.000e+01,1.822e-02,1.388e-02
# end of file
