# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/gafchromic.html
# 
# Gafchromic Sensor
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.594e+03,2.589e+03
1.500e-03,8.437e+02,8.419e+02
2.000e-03,3.705e+02,3.693e+02
3.000e-03,1.129e+02,1.120e+02
4.000e-03,4.776e+01,4.713e+01
5.000e-03,2.436e+01,2.384e+01
6.000e-03,1.402e+01,1.357e+01
8.000e-03,5.892e+00,5.523e+00
1.000e-02,3.052e+00,2.728e+00
1.500e-02,1.014e+00,7.481e-01
2.000e-02,5.366e-01,2.990e-01
3.000e-02,2.943e-01,8.733e-02
4.000e-02,2.322e-01,4.248e-02
5.000e-02,2.066e-01,2.905e-02
6.000e-02,1.925e-01,2.448e-02
8.000e-02,1.759e-01,2.281e-02
1.000e-01,1.651e-01,2.368e-02
1.500e-01,1.467e-01,2.674e-02
2.000e-01,1.339e-01,2.894e-02
3.000e-01,1.161e-01,3.125e-02
4.000e-01,1.039e-01,3.212e-02
5.000e-01,9.487e-02,3.233e-02
6.000e-01,8.772e-02,3.218e-02
8.000e-01,7.704e-02,3.142e-02
1.000e+00,6.926e-02,3.040e-02
1.250e+00,6.194e-02,2.906e-02
1.500e+00,5.637e-02,2.778e-02
2.000e+00,4.835e-02,2.553e-02
3.000e+00,3.872e-02,2.227e-02
4.000e+00,3.308e-02,2.008e-02
5.000e+00,2.935e-02,1.853e-02
6.000e+00,2.672e-02,1.739e-02
8.000e+00,2.324e-02,1.583e-02
1.000e+01,2.108e-02,1.483e-02
1.500e+01,1.815e-02,1.344e-02
2.000e+01,1.675e-02,1.275e-02
# end of file
