# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/gallium.html
# 
# Gallium Arsenide
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,1.917e+03,1.911e+03
1.056e-03,1.685e+03,1.680e+03
1.115e-03,1.481e+03,1.476e+03
1.115e-03,2.772e+03,2.752e+03
1.129e-03,3.180e+03,3.156e+03
1.142e-03,3.532e+03,3.504e+03
1.142e-03,4.372e+03,4.333e+03
1.218e-03,4.130e+03,4.094e+03
1.298e-03,3.657e+03,3.626e+03
1.298e-03,4.066e+03,4.031e+03
1.310e-03,3.971e+03,3.937e+03
1.323e-03,3.879e+03,3.846e+03
1.323e-03,5.652e+03,5.593e+03
1.341e-03,5.525e+03,5.468e+03
1.359e-03,5.415e+03,5.360e+03
1.359e-03,6.266e+03,6.197e+03
1.500e-03,5.159e+03,5.106e+03
1.527e-03,4.939e+03,4.888e+03
1.527e-03,5.278e+03,5.224e+03
2.000e-03,2.731e+03,2.706e+03
3.000e-03,9.702e+02,9.614e+02
4.000e-03,4.539e+02,4.486e+02
5.000e-03,2.495e+02,2.456e+02
6.000e-03,1.524e+02,1.492e+02
8.000e-03,6.960e+01,6.728e+01
1.000e-02,3.780e+01,3.601e+01
1.037e-02,3.425e+01,3.254e+01
1.037e-02,1.260e+02,8.315e+01
1.109e-02,1.059e+02,7.188e+01
1.187e-02,8.899e+01,6.193e+01
1.187e-02,1.685e+02,1.016e+02
1.500e-02,9.220e+01,6.257e+01
2.000e-02,4.258e+01,3.189e+01
3.000e-02,1.397e+01,1.132e+01
4.000e-02,6.262e+00,5.187e+00
5.000e-02,3.365e+00,2.779e+00
6.000e-02,2.042e+00,1.655e+00
8.000e-02,9.587e-01,7.246e-01
1.000e-01,5.598e-01,3.838e-01
1.500e-01,2.509e-01,1.299e-01
2.000e-01,1.671e-01,6.921e-02
3.000e-01,1.137e-01,3.916e-02
4.000e-01,9.371e-02,3.210e-02
5.000e-01,8.248e-02,2.943e-02
6.000e-01,7.484e-02,2.802e-02
8.000e-01,6.452e-02,2.628e-02
1.000e+00,5.751e-02,2.499e-02
1.250e+00,5.122e-02,2.361e-02
1.500e+00,4.676e-02,2.250e-02
2.000e+00,4.102e-02,2.101e-02
3.000e+00,3.538e-02,1.984e-02
4.000e+00,3.288e-02,1.969e-02
5.000e+00,3.172e-02,1.994e-02
6.000e+00,3.121e-02,2.034e-02
8.000e+00,3.117e-02,2.127e-02
1.000e+01,3.170e-02,2.215e-02
1.500e+01,3.354e-02,2.370e-02
2.000e+01,3.543e-02,2.459e-02
# end of file
