# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/kodak.html
# 
# Photographic Emulsion, Kodak Type AA
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.155e+03,4.148e+03
1.500e-03,1.541e+03,1.536e+03
1.550e-03,1.420e+03,1.415e+03
1.550e-03,2.169e+03,2.151e+03
1.573e-03,2.025e+03,2.008e+03
1.596e-03,1.927e+03,1.911e+03
1.596e-03,2.263e+03,2.241e+03
1.686e-03,2.003e+03,1.985e+03
1.782e-03,1.736e+03,1.720e+03
1.782e-03,1.853e+03,1.835e+03
2.000e-03,1.392e+03,1.378e+03
3.000e-03,4.936e+02,4.880e+02
3.351e-03,3.698e+02,3.651e+02
3.351e-03,6.361e+02,6.179e+02
3.436e-03,5.966e+02,5.798e+02
3.524e-03,5.596e+02,5.439e+02
3.524e-03,6.862e+02,6.633e+02
3.662e-03,6.236e+02,6.022e+02
3.806e-03,5.651e+02,5.470e+02
3.806e-03,6.211e+02,6.003e+02
4.000e-03,5.496e+02,5.317e+02
5.000e-03,3.078e+02,2.985e+02
6.000e-03,1.906e+02,1.849e+02
8.000e-03,8.859e+01,8.565e+01
1.000e-02,4.857e+01,4.663e+01
1.347e-02,2.166e+01,2.044e+01
1.347e-02,4.958e+01,3.300e+01
1.500e-02,3.752e+01,2.593e+01
2.000e-02,1.754e+01,1.308e+01
2.551e-02,9.135e+00,7.074e+00
2.551e-02,2.293e+01,1.061e+01
3.000e-02,1.508e+01,8.007e+00
4.000e-02,7.044e+00,4.392e+00
5.000e-02,3.889e+00,2.608e+00
6.000e-02,2.400e+00,1.661e+00
8.000e-02,1.147e+00,7.915e-01
1.000e-01,6.720e-01,4.412e-01
1.500e-01,2.962e-01,1.586e-01
2.000e-01,1.927e-01,8.527e-02
3.000e-01,1.274e-01,4.670e-02
4.000e-01,1.037e-01,3.709e-02
5.000e-01,9.075e-02,3.339e-02
6.000e-01,8.210e-02,3.147e-02
8.000e-01,7.057e-02,2.923e-02
1.000e+00,6.281e-02,2.768e-02
1.250e+00,5.587e-02,2.610e-02
1.500e+00,5.090e-02,2.483e-02
2.000e+00,4.429e-02,2.302e-02
3.000e+00,3.727e-02,2.116e-02
4.000e+00,3.372e-02,2.038e-02
5.000e+00,3.171e-02,2.009e-02
6.000e+00,3.049e-02,2.003e-02
8.000e+00,2.933e-02,2.024e-02
1.000e+01,2.900e-02,2.062e-02
1.500e+01,2.939e-02,2.150e-02
2.000e+01,3.026e-02,2.210e-02
# end of file
