# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/glass.html
# 
# Glass, Lead
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.816e+03,4.804e+03
1.150e-03,3.619e+03,3.607e+03
1.323e-03,2.704e+03,2.693e+03
1.323e-03,2.713e+03,2.702e+03
1.341e-03,2.639e+03,2.628e+03
1.359e-03,2.567e+03,2.556e+03
1.359e-03,2.571e+03,2.560e+03
1.500e-03,2.088e+03,2.078e+03
1.527e-03,2.012e+03,2.002e+03
1.527e-03,2.014e+03,2.004e+03
1.675e-03,1.646e+03,1.636e+03
1.839e-03,1.339e+03,1.330e+03
1.839e-03,1.573e+03,1.552e+03
2.000e-03,1.316e+03,1.298e+03
2.484e-03,8.026e+02,7.897e+02
2.484e-03,1.251e+03,1.223e+03
2.534e-03,1.488e+03,1.451e+03
2.586e-03,1.641e+03,1.600e+03
2.586e-03,2.027e+03,1.973e+03
3.000e-03,1.596e+03,1.555e+03
3.066e-03,1.508e+03,1.469e+03
3.066e-03,1.726e+03,1.681e+03
3.301e-03,1.440e+03,1.404e+03
3.554e-03,1.199e+03,1.170e+03
3.554e-03,1.266e+03,1.235e+03
3.699e-03,1.150e+03,1.122e+03
3.851e-03,1.045e+03,1.020e+03
3.851e-03,1.088e+03,1.062e+03
4.000e-03,9.945e+02,9.709e+02
4.966e-03,5.875e+02,5.733e+02
4.966e-03,5.924e+02,5.772e+02
5.000e-03,5.828e+02,5.678e+02
6.000e-03,3.715e+02,3.612e+02
8.000e-03,1.808e+02,1.744e+02
1.000e-02,1.029e+02,9.821e+01
1.187e-02,6.666e+01,6.288e+01
1.187e-02,6.707e+01,6.308e+01
1.244e-02,6.625e+01,5.580e+01
1.304e-02,5.288e+01,4.937e+01
1.304e-02,1.244e+02,9.927e+01
1.500e-02,8.557e+01,6.991e+01
1.520e-02,8.266e+01,6.766e+01
1.520e-02,1.132e+02,8.649e+01
1.553e-02,1.080e+02,8.279e+01
1.586e-02,1.025e+02,7.888e+01
1.586e-02,1.178e+02,8.998e+01
2.000e-02,6.568e+01,5.252e+01
3.000e-02,2.305e+01,1.927e+01
4.000e-02,1.093e+01,9.198e+00
5.000e-02,6.134e+00,5.118e+00
6.000e-02,3.843e+00,3.152e+00
8.000e-02,1.869e+00,1.458e+00
8.800e-02,1.483e+00,1.129e+00
8.800e-02,5.824e+00,1.639e+00
1.000e-01,4.216e+00,1.498e+00
1.500e-01,1.550e+00,8.042e-01
2.000e-01,7.820e-01,4.508e-01
3.000e-01,3.297e-01,1.934e-01
4.000e-01,1.984e-01,1.114e-01
5.000e-01,1.429e-01,7.676e-02
6.000e-01,1.138e-01,5.918e-02
8.000e-01,8.421e-02,4.246e-02
1.000e+00,6.914e-02,3.468e-02
1.250e+00,5.826e-02,2.931e-02
1.500e+00,5.208e-02,2.636e-02
2.000e+00,4.568e-02,2.373e-02
3.000e+00,4.082e-02,2.281e-02
4.000e+00,3.938e-02,2.343e-02
5.000e+00,3.919e-02,2.439e-02
6.000e+00,3.958e-02,2.540e-02
8.000e+00,4.108e-02,2.724e-02
1.000e+01,4.295e-02,2.878e-02
1.500e+01,4.768e-02,3.137e-02
2.000e+01,5.165e-02,3.257e-02
# end of file
