# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/lithiumflu.html
# 
# Lithium Fluoride
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.200e+03,4.175e+03
1.500e-03,1.467e+03,1.460e+03
2.000e-03,6.698e+02,6.667e+02
3.000e-03,2.135e+02,2.121e+02
4.000e-03,9.282e+01,9.188e+01
5.000e-03,4.815e+01,4.742e+01
6.000e-03,2.802e+01,2.742e+01
8.000e-03,1.187e+01,1.142e+01
1.000e-02,6.101e+00,5.733e+00
1.500e-02,1.884e+00,1.612e+00
2.000e-02,8.792e-01,6.494e-01
3.000e-02,3.727e-01,1.826e-01
4.000e-02,2.486e-01,7.890e-02
5.000e-02,2.020e-01,4.541e-02
6.000e-02,1.791e-01,3.223e-02
8.000e-02,1.563e-01,2.385e-02
1.000e-01,1.441e-01,2.229e-02
1.500e-01,1.260e-01,2.332e-02
2.000e-01,1.145e-01,2.484e-02
3.000e-01,9.899e-02,2.663e-02
4.000e-01,8.853e-02,2.734e-02
5.000e-01,8.076e-02,2.749e-02
6.000e-01,7.467e-02,2.736e-02
8.000e-01,6.557e-02,2.671e-02
1.000e+00,5.894e-02,2.585e-02
1.250e+00,5.271e-02,2.470e-02
1.500e+00,4.798e-02,2.361e-02
2.000e+00,4.122e-02,2.173e-02
3.000e+00,3.321e-02,1.907e-02
4.000e+00,2.857e-02,1.733e-02
5.000e+00,2.554e-02,1.614e-02
6.000e+00,2.343e-02,1.528e-02
8.000e+00,2.069e-02,1.414e-02
1.000e+01,1.903e-02,1.345e-02
1.500e+01,1.687e-02,1.253e-02
2.000e+01,1.592e-02,1.211e-02
# end of file
