# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/lithium.html
# 
# Lithium Tetraborate
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.373e+03,3.363e+03
1.500e-03,1.128e+03,1.124e+03
2.000e-03,5.033e+02,5.015e+02
3.000e-03,1.563e+02,1.553e+02
4.000e-03,6.687e+01,6.612e+01
5.000e-03,3.433e+01,3.373e+01
6.000e-03,1.984e+01,1.933e+01
8.000e-03,8.343e+00,7.946e+00
1.000e-02,4.290e+00,3.954e+00
1.500e-02,1.357e+00,1.096e+00
2.000e-02,6.652e-01,4.384e-01
3.000e-02,3.165e-01,1.244e-01
4.000e-02,2.298e-01,5.612e-02
5.000e-02,1.960e-01,3.469e-02
6.000e-02,1.786e-01,2.665e-02
8.000e-02,1.599e-01,2.221e-02
1.000e-01,1.489e-01,2.201e-02
1.500e-01,1.314e-01,2.408e-02
2.000e-01,1.197e-01,2.589e-02
3.000e-01,1.036e-01,2.787e-02
4.000e-01,9.271e-02,2.863e-02
5.000e-01,8.461e-02,2.881e-02
6.000e-01,7.823e-02,2.868e-02
8.000e-01,6.870e-02,2.800e-02
1.000e+00,6.177e-02,2.710e-02
1.250e+00,5.523e-02,2.589e-02
1.500e+00,5.026e-02,2.474e-02
2.000e+00,4.318e-02,2.278e-02
3.000e+00,3.471e-02,1.994e-02
4.000e+00,2.979e-02,1.808e-02
5.000e+00,2.657e-02,1.678e-02
6.000e+00,2.432e-02,1.585e-02
8.000e+00,2.137e-02,1.459e-02
1.000e+01,1.958e-02,1.381e-02
1.500e+01,1.721e-02,1.276e-02
2.000e+01,1.613e-02,1.227e-02
# end of file
