# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/lung.html
# 
# Lung Tissue
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.803e+03,3.791e+03
1.035e-03,3.469e+03,3.459e+03
1.072e-03,3.164e+03,3.155e+03
1.072e-03,3.176e+03,3.167e+03
1.500e-03,1.283e+03,1.280e+03
2.000e-03,5.746e+02,5.727e+02
2.145e-03,4.707e+02,4.690e+02
2.145e-03,4.752e+02,4.732e+02
2.303e-03,3.883e+02,3.865e+02
2.472e-03,3.170e+02,3.154e+02
2.472e-03,3.226e+02,3.206e+02
2.641e-03,2.668e+02,2.650e+02
2.822e-03,2.204e+02,2.189e+02
2.822e-03,2.248e+02,2.229e+02
3.000e-03,1.888e+02,1.870e+02
3.607e-03,1.103e+02,1.091e+02
3.607e-03,1.125e+02,1.110e+02
4.000e-03,8.306e+01,8.181e+01
5.000e-03,4.296e+01,4.210e+01
6.000e-03,2.497e+01,2.431e+01
8.000e-03,1.058e+01,1.010e+01
1.000e-02,5.459e+00,5.067e+00
1.500e-02,1.721e+00,1.423e+00
2.000e-02,8.316e-01,5.740e-01
3.000e-02,3.815e-01,1.635e-01
4.000e-02,2.699e-01,7.286e-02
5.000e-02,2.270e-01,4.393e-02
6.000e-02,2.053e-01,3.282e-02
8.000e-02,1.826e-01,2.625e-02
1.000e-01,1.695e-01,2.550e-02
1.500e-01,1.493e-01,2.748e-02
2.000e-01,1.359e-01,2.945e-02
3.000e-01,1.177e-01,3.167e-02
4.000e-01,1.053e-01,3.252e-02
5.000e-01,9.607e-02,3.272e-02
6.000e-01,8.882e-02,3.257e-02
8.000e-01,7.800e-02,3.179e-02
1.000e+00,7.013e-02,3.077e-02
1.250e+00,6.271e-02,2.940e-02
1.500e+00,5.706e-02,2.810e-02
2.000e+00,4.900e-02,2.586e-02
3.000e+00,3.935e-02,2.262e-02
4.000e+00,3.374e-02,2.048e-02
5.000e+00,3.005e-02,1.898e-02
6.000e+00,2.746e-02,1.789e-02
8.000e+00,2.407e-02,1.643e-02
1.000e+01,2.198e-02,1.551e-02
1.500e+01,1.922e-02,1.427e-02
2.000e+01,1.794e-02,1.367e-02
# end of file
