# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/magnesium.html
# 
# Magnesium Tetroborate
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.284e+03,3.275e+03
1.142e-03,2.304e+03,2.298e+03
1.305e-03,1.609e+03,1.604e+03
1.305e-03,2.284e+03,2.262e+03
1.500e-03,1.599e+03,1.584e+03
2.000e-03,7.334e+02,7.274e+02
3.000e-03,2.358e+02,2.337e+02
4.000e-03,1.030e+02,1.018e+02
5.000e-03,5.363e+01,5.279e+01
6.000e-03,3.131e+01,3.064e+01
8.000e-03,1.332e+01,1.283e+01
1.000e-02,6.865e+00,6.470e+00
1.500e-02,2.122e+00,1.831e+00
2.000e-02,9.862e-01,7.409e-01
3.000e-02,4.114e-01,2.092e-01
4.000e-02,2.705e-01,9.011e-02
5.000e-02,2.177e-01,5.137e-02
6.000e-02,1.919e-01,3.600e-02
8.000e-02,1.666e-01,2.602e-02
1.000e-01,1.531e-01,2.398e-02
1.500e-01,1.337e-01,2.480e-02
2.000e-01,1.214e-01,2.635e-02
3.000e-01,1.049e-01,2.822e-02
4.000e-01,9.380e-02,2.896e-02
5.000e-01,8.558e-02,2.913e-02
6.000e-01,7.912e-02,2.899e-02
8.000e-01,6.946e-02,2.830e-02
1.000e+00,6.245e-02,2.738e-02
1.250e+00,5.584e-02,2.616e-02
1.500e+00,5.083e-02,2.500e-02
2.000e+00,4.370e-02,2.303e-02
3.000e+00,3.524e-02,2.023e-02
4.000e+00,3.035e-02,1.842e-02
5.000e+00,2.718e-02,1.717e-02
6.000e+00,2.496e-02,1.629e-02
8.000e+00,2.211e-02,1.512e-02
1.000e+01,2.039e-02,1.441e-02
1.500e+01,1.817e-02,1.350e-02
2.000e+01,1.722e-02,1.309e-02
# end of file
