# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/mercuric.html
# 
# Mercuric Iodide
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,7.213e+03,7.197e+03
1.035e-03,6.724e+03,6.709e+03
1.072e-03,6.258e+03,6.244e+03
1.072e-03,6.446e+03,6.431e+03
1.500e-03,3.149e+03,3.137e+03
2.000e-03,1.638e+03,1.628e+03
2.295e-03,1.188e+03,1.178e+03
2.295e-03,1.238e+03,1.227e+03
2.339e-03,1.384e+03,1.367e+03
2.385e-03,1.678e+03,1.652e+03
2.385e-03,1.751e+03,1.722e+03
2.606e-03,1.582e+03,1.554e+03
2.847e-03,1.390e+03,1.364e+03
2.847e-03,1.531e+03,1.502e+03
3.000e-03,1.349e+03,1.324e+03
3.279e-03,1.085e+03,1.064e+03
3.279e-03,1.130e+03,1.109e+03
3.417e-03,1.024e+03,1.002e+03
3.562e-03,9.261e+02,9.081e+02
3.562e-03,9.539e+02,9.354e+02
4.000e-03,7.218e+02,7.072e+02
4.557e-03,5.247e+02,5.132e+02
4.557e-03,8.017e+02,7.693e+02
4.702e-03,7.500e+02,7.197e+02
4.852e-03,6.969e+02,6.690e+02
4.852e-03,8.258e+02,7.866e+02
5.000e-03,7.741e+02,7.376e+02
5.188e-03,7.052e+02,6.726e+02
5.188e-03,7.707e+02,7.332e+02
6.000e-03,5.385e+02,5.138e+02
8.000e-03,2.577e+02,2.463e+02
1.000e-02,1.447e+02,1.379e+02
1.228e-02,8.459e+01,8.001e+01
1.228e-02,1.311e+02,1.133e+02
1.321e-02,1.079e+02,9.385e+01
1.421e-02,8.896e+01,7.778e+01
1.421e-02,1.090e+02,9.059e+01
1.452e-02,1.035e+02,8.618e+01
1.484e-02,9.793e+01,8.172e+01
1.484e-02,1.080e+02,8.910e+01
1.500e-02,1.050e+02,8.678e+01
2.000e-02,5.006e+01,4.254e+01
3.000e-02,1.732e+01,1.490e+01
3.317e-02,1.332e+01,1.143e+01
3.317e-02,2.967e+01,1.485e+01
4.000e-02,1.827e+01,1.041e+01
5.000e-02,1.019e+01,6.462e+00
6.000e-02,6.301e+00,4.236e+00
8.000e-02,2.958e+00,2.088e+00
8.310e-02,2.679e+00,1.897e+00
8.310e-02,5.508e+00,2.240e+00
1.000e-01,3.415e+00,1.651e+00
1.500e-01,1.232e+00,7.225e-01
2.000e-01,6.220e-01,3.785e-01
3.000e-01,2.682e-01,1.554e-01
4.000e-01,1.661e-01,8.937e-02
5.000e-01,1.228e-01,6.248e-02
6.000e-01,9.985e-02,4.909e-02
8.000e-01,7.601e-02,3.648e-02
1.000e+00,6.350e-02,3.058e-02
1.250e+00,5.421e-02,2.641e-02
1.500e+00,4.882e-02,2.407e-02
2.000e+00,4.323e-02,2.204e-02
3.000e+00,3.933e-02,2.171e-02
4.000e+00,3.856e-02,2.275e-02
5.000e+00,3.889e-02,2.402e-02
6.000e+00,3.967e-02,2.527e-02
8.000e+00,4.181e-02,2.747e-02
1.000e+01,4.415e-02,2.923e-02
1.500e+01,4.966e-02,3.206e-02
2.000e+01,5.410e-02,3.328e-02
# end of file
