# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/muscle.html
# 
# Muscle, Skeletal
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.719e+03,3.709e+03
1.035e-03,3.393e+03,3.383e+03
1.072e-03,3.094e+03,3.085e+03
1.072e-03,3.100e+03,3.091e+03
1.500e-03,1.251e+03,1.247e+03
2.000e-03,5.594e+02,5.574e+02
2.145e-03,4.581e+02,4.564e+02
2.145e-03,4.626e+02,4.606e+02
2.303e-03,3.776e+02,3.762e+02
2.472e-03,3.085e+02,3.069e+02
2.472e-03,3.140e+02,3.121e+02
2.641e-03,2.597e+02,2.579e+02
2.822e-03,2.145e+02,2.130e+02
2.822e-03,2.160e+02,2.143e+02
3.000e-03,1.812e+02,1.796e+02
3.607e-03,1.057e+02,1.046e+02
3.607e-03,1.100e+02,1.083e+02
4.000e-03,8.127e+01,7.992e+01
5.000e-03,4.206e+01,4.116e+01
6.000e-03,2.446e+01,2.377e+01
8.000e-03,1.037e+01,9.888e+00
1.000e-02,5.356e+00,4.964e+00
1.500e-02,1.693e+00,1.396e+00
2.000e-02,8.205e-01,5.638e-01
3.000e-02,3.783e-01,1.610e-01
4.000e-02,2.685e-01,7.192e-02
5.000e-02,2.262e-01,4.349e-02
6.000e-02,2.048e-01,3.258e-02
8.000e-02,1.823e-01,2.615e-02
1.000e-01,1.693e-01,2.544e-02
1.500e-01,1.492e-01,2.745e-02
2.000e-01,1.358e-01,2.942e-02
3.000e-01,1.176e-01,3.164e-02
4.000e-01,1.052e-01,3.249e-02
5.000e-01,9.598e-02,3.269e-02
6.000e-01,8.874e-02,3.254e-02
8.000e-01,7.793e-02,3.177e-02
1.000e+00,7.007e-02,3.074e-02
1.250e+00,6.265e-02,2.938e-02
1.500e+00,5.701e-02,2.808e-02
2.000e+00,4.896e-02,2.584e-02
3.000e+00,3.931e-02,2.259e-02
4.000e+00,3.369e-02,2.045e-02
5.000e+00,3.000e-02,1.895e-02
6.000e+00,2.741e-02,1.786e-02
8.000e+00,2.401e-02,1.639e-02
1.000e+01,2.192e-02,1.547e-02
1.500e+01,1.915e-02,1.421e-02
2.000e+01,1.786e-02,1.361e-02
# end of file
