# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/mylar.html
# 
# Polyethylene Terephthalate, "Mylar"
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.911e+03,2.905e+03
1.500e-03,9.536e+02,9.513e+02
2.000e-03,4.206e+02,4.192e+02
3.000e-03,1.288e+02,1.279e+02
4.000e-03,5.466e+01,5.398e+01
5.000e-03,2.792e+01,2.737e+01
6.000e-03,1.608e+01,1.561e+01
8.000e-03,6.750e+00,6.370e+00
1.000e-02,3.481e+00,3.153e+00
1.500e-02,1.132e+00,8.668e-01
2.000e-02,5.798e-01,3.462e-01
3.000e-02,3.009e-01,9.972e-02
4.000e-02,2.304e-01,4.695e-02
5.000e-02,2.020e-01,3.082e-02
6.000e-02,1.868e-01,2.508e-02
8.000e-02,1.695e-01,2.247e-02
1.000e-01,1.586e-01,2.297e-02
1.500e-01,1.406e-01,2.567e-02
2.000e-01,1.282e-01,2.772e-02
3.000e-01,1.111e-01,2.990e-02
4.000e-01,9.947e-02,3.073e-02
5.000e-01,9.079e-02,3.093e-02
6.000e-01,8.395e-02,3.079e-02
8.000e-01,7.372e-02,3.005e-02
1.000e+00,6.628e-02,2.909e-02
1.250e+00,5.927e-02,2.780e-02
1.500e+00,5.395e-02,2.657e-02
2.000e+00,4.630e-02,2.444e-02
3.000e+00,3.715e-02,2.135e-02
4.000e+00,3.181e-02,1.931e-02
5.000e+00,2.829e-02,1.787e-02
6.000e+00,2.582e-02,1.682e-02
8.000e+00,2.257e-02,1.540e-02
1.000e+01,2.057e-02,1.450e-02
1.500e+01,1.789e-02,1.327e-02
2.000e+01,1.664e-02,1.267e-02
# end of file
