# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/ovary.html
# 
# Ovary
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.835e+03,3.823e+03
1.035e-03,3.499e+03,3.489e+03
1.072e-03,3.191e+03,3.182e+03
1.072e-03,3.203e+03,3.194e+03
1.500e-03,1.295e+03,1.291e+03
2.000e-03,5.800e+02,5.780e+02
2.145e-03,4.752e+02,4.734e+02
2.145e-03,4.796e+02,4.776e+02
2.303e-03,3.920e+02,3.902e+02
2.472e-03,3.200e+02,3.184e+02
2.472e-03,3.237e+02,3.218e+02
2.641e-03,2.677e+02,2.660e+02
2.822e-03,2.211e+02,2.196e+02
2.822e-03,2.240e+02,2.223e+02
3.000e-03,1.880e+02,1.864e+02
3.607e-03,1.098e+02,1.086e+02
3.607e-03,1.119e+02,1.105e+02
4.000e-03,8.261e+01,8.142e+01
5.000e-03,4.269e+01,4.185e+01
6.000e-03,2.479e+01,2.414e+01
8.000e-03,1.049e+01,1.002e+01
1.000e-02,5.410e+00,5.019e+00
1.500e-02,1.705e+00,1.407e+00
2.000e-02,8.247e-01,5.669e-01
3.000e-02,3.796e-01,1.614e-01
4.000e-02,2.693e-01,7.196e-02
5.000e-02,2.269e-01,4.349e-02
6.000e-02,2.054e-01,3.258e-02
8.000e-02,1.828e-01,2.617e-02
1.000e-01,1.698e-01,2.548e-02
1.500e-01,1.496e-01,2.751e-02
2.000e-01,1.361e-01,2.950e-02
3.000e-01,1.179e-01,3.172e-02
4.000e-01,1.055e-01,3.258e-02
5.000e-01,9.624e-02,3.278e-02
6.000e-01,8.898e-02,3.263e-02
8.000e-01,7.814e-02,3.185e-02
1.000e+00,7.026e-02,3.083e-02
1.250e+00,6.282e-02,2.946e-02
1.500e+00,5.717e-02,2.815e-02
2.000e+00,4.909e-02,2.591e-02
3.000e+00,3.942e-02,2.266e-02
4.000e+00,3.380e-02,2.052e-02
5.000e+00,3.010e-02,1.902e-02
6.000e+00,2.750e-02,1.792e-02
8.000e+00,2.411e-02,1.646e-02
1.000e+01,2.202e-02,1.554e-02
1.500e+01,1.924e-02,1.429e-02
2.000e+01,1.797e-02,1.369e-02
# end of file
