# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/pmma.html
# 
# Polymethyl Methacrylate
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.794e+03,2.788e+03
1.500e-03,9.153e+02,9.131e+02
2.000e-03,4.037e+02,4.024e+02
3.000e-03,1.236e+02,1.228e+02
4.000e-03,5.247e+01,5.181e+01
5.000e-03,2.681e+01,2.627e+01
6.000e-03,1.545e+01,1.498e+01
8.000e-03,6.494e+00,6.114e+00
1.000e-02,3.357e+00,3.026e+00
1.500e-02,1.101e+00,8.324e-01
2.000e-02,5.714e-01,3.328e-01
3.000e-02,3.032e-01,9.645e-02
4.000e-02,2.350e-01,4.599e-02
5.000e-02,2.074e-01,3.067e-02
6.000e-02,1.924e-01,2.530e-02
8.000e-02,1.751e-01,2.302e-02
1.000e-01,1.641e-01,2.368e-02
1.500e-01,1.456e-01,2.657e-02
2.000e-01,1.328e-01,2.872e-02
3.000e-01,1.152e-01,3.099e-02
4.000e-01,1.031e-01,3.185e-02
5.000e-01,9.410e-02,3.206e-02
6.000e-01,8.701e-02,3.191e-02
8.000e-01,7.641e-02,3.116e-02
1.000e+00,6.870e-02,3.015e-02
1.250e+00,6.143e-02,2.882e-02
1.500e+00,5.591e-02,2.755e-02
2.000e+00,4.796e-02,2.533e-02
3.000e+00,3.844e-02,2.210e-02
4.000e+00,3.286e-02,1.995e-02
5.000e+00,2.919e-02,1.843e-02
6.000e+00,2.659e-02,1.731e-02
8.000e+00,2.317e-02,1.579e-02
1.000e+01,2.105e-02,1.482e-02
1.500e+01,1.820e-02,1.348e-02
2.000e+01,1.684e-02,1.282e-02
# end of file
