# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/polyethylene.html
# 
# Polyethylene
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,1.894e+03,1.892e+03
1.500e-03,5.999e+02,5.988e+02
2.000e-03,2.593e+02,2.584e+02
3.000e-03,7.743e+01,7.678e+01
4.000e-03,3.242e+01,3.189e+01
5.000e-03,1.643e+01,1.598e+01
6.000e-03,9.432e+00,9.032e+00
8.000e-03,3.975e+00,3.635e+00
1.000e-02,2.088e+00,1.781e+00
1.500e-02,7.452e-01,4.834e-01
2.000e-02,4.315e-01,1.936e-01
3.000e-02,2.706e-01,5.932e-02
4.000e-02,2.275e-01,3.196e-02
5.000e-02,2.084e-01,2.442e-02
6.000e-02,1.970e-01,2.236e-02
8.000e-02,1.823e-01,2.265e-02
1.000e-01,1.719e-01,2.423e-02
1.500e-01,1.534e-01,2.789e-02
2.000e-01,1.402e-01,3.029e-02
3.000e-01,1.217e-01,3.276e-02
4.000e-01,1.089e-01,3.368e-02
5.000e-01,9.947e-02,3.390e-02
6.000e-01,9.198e-02,3.375e-02
8.000e-01,8.078e-02,3.295e-02
1.000e+00,7.262e-02,3.190e-02
1.250e+00,6.495e-02,3.049e-02
1.500e+00,5.910e-02,2.914e-02
2.000e+00,5.064e-02,2.677e-02
3.000e+00,4.045e-02,2.328e-02
4.000e+00,3.444e-02,2.091e-02
5.000e+00,3.045e-02,1.921e-02
6.000e+00,2.760e-02,1.794e-02
8.000e+00,2.383e-02,1.620e-02
1.000e+01,2.145e-02,1.506e-02
1.500e+01,1.819e-02,1.344e-02
2.000e+01,1.658e-02,1.260e-02
# end of file
