# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/polystyrene.html
# 
# Polystyrene
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.040e+03,2.038e+03
1.500e-03,6.462e+02,6.450e+02
2.000e-03,2.792e+02,2.783e+02
3.000e-03,8.338e+01,8.271e+01
4.000e-03,3.489e+01,3.435e+01
5.000e-03,1.767e+01,1.721e+01
6.000e-03,1.013e+01,9.730e+00
8.000e-03,4.252e+00,3.915e+00
1.000e-02,2.219e+00,1.918e+00
1.500e-02,7.738e-01,5.200e-01
2.000e-02,4.363e-01,2.075e-01
3.000e-02,2.640e-01,6.246e-02
4.000e-02,2.183e-01,3.264e-02
5.000e-02,1.986e-01,2.421e-02
6.000e-02,1.870e-01,2.172e-02
8.000e-02,1.725e-01,2.160e-02
1.000e-01,1.624e-01,2.296e-02
1.500e-01,1.448e-01,2.632e-02
2.000e-01,1.322e-01,2.857e-02
3.000e-01,1.147e-01,3.088e-02
4.000e-01,1.027e-01,3.175e-02
5.000e-01,9.379e-02,3.196e-02
6.000e-01,8.672e-02,3.182e-02
8.000e-01,7.615e-02,3.106e-02
1.000e+00,6.847e-02,3.006e-02
1.250e+00,6.123e-02,2.874e-02
1.500e+00,5.573e-02,2.747e-02
2.000e+00,4.777e-02,2.524e-02
3.000e+00,3.822e-02,2.199e-02
4.000e+00,3.261e-02,1.979e-02
5.000e+00,2.889e-02,1.824e-02
6.000e+00,2.626e-02,1.708e-02
8.000e+00,2.278e-02,1.550e-02
1.000e+01,2.060e-02,1.448e-02
1.500e+01,1.763e-02,1.305e-02
2.000e+01,1.620e-02,1.232e-02
# end of file
