# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/teflon.html
# 
# Polytetrafluoroethylene, "Teflon"
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.823e+03,4.797e+03
1.500e-03,1.672e+03,1.664e+03
2.000e-03,7.601e+02,7.567e+02
3.000e-03,2.411e+02,2.396e+02
4.000e-03,1.045e+02,1.035e+02
5.000e-03,5.409e+01,5.329e+01
6.000e-03,3.142e+01,3.077e+01
8.000e-03,1.327e+01,1.278e+01
1.000e-02,6.805e+00,6.408e+00
1.500e-02,2.088e+00,1.796e+00
2.000e-02,9.667e-01,7.221e-01
3.000e-02,4.025e-01,2.022e-01
4.000e-02,2.647e-01,8.674e-02
5.000e-02,2.132e-01,4.943e-02
6.000e-02,1.880e-01,3.470e-02
8.000e-02,1.632e-01,2.523e-02
1.000e-01,1.500e-01,2.335e-02
1.500e-01,1.310e-01,2.424e-02
2.000e-01,1.189e-01,2.579e-02
3.000e-01,1.027e-01,2.763e-02
4.000e-01,9.187e-02,2.836e-02
5.000e-01,8.380e-02,2.852e-02
6.000e-01,7.747e-02,2.838e-02
8.000e-01,6.803e-02,2.771e-02
1.000e+00,6.115e-02,2.681e-02
1.250e+00,5.469e-02,2.562e-02
1.500e+00,4.979e-02,2.448e-02
2.000e+00,4.280e-02,2.255e-02
3.000e+00,3.456e-02,1.984e-02
4.000e+00,2.981e-02,1.809e-02
5.000e+00,2.674e-02,1.690e-02
6.000e+00,2.460e-02,1.606e-02
8.000e+00,2.185e-02,1.496e-02
1.000e+01,2.020e-02,1.430e-02
1.500e+01,1.811e-02,1.346e-02
2.000e+01,1.722e-02,1.310e-02
# end of file
