# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/temethane.html
# 
# Tissue-Equivalent Gas, Methane Based
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.993e+03,2.986e+03
1.500e-03,9.878e+02,9.854e+02
2.000e-03,4.376e+02,4.361e+02
3.000e-03,1.347e+02,1.338e+02
4.000e-03,5.734e+01,5.665e+01
5.000e-03,2.935e+01,2.878e+01
6.000e-03,1.694e+01,1.645e+01
8.000e-03,7.124e+00,6.730e+00
1.000e-02,3.679e+00,3.338e+00
1.500e-02,1.197e+00,9.207e-01
2.000e-02,6.129e-01,3.685e-01
3.000e-02,3.177e-01,1.063e-01
4.000e-02,2.431e-01,5.002e-02
5.000e-02,2.132e-01,3.278e-02
6.000e-02,1.972e-01,2.663e-02
8.000e-02,1.790e-01,2.380e-02
1.000e-01,1.675e-01,2.430e-02
1.500e-01,1.486e-01,2.714e-02
2.000e-01,1.355e-01,2.930e-02
3.000e-01,1.174e-01,3.161e-02
4.000e-01,1.051e-01,3.248e-02
5.000e-01,9.594e-02,3.269e-02
6.000e-01,8.871e-02,3.254e-02
8.000e-01,7.790e-02,3.177e-02
1.000e+00,7.004e-02,3.075e-02
1.250e+00,6.264e-02,2.938e-02
1.500e+00,5.700e-02,2.809e-02
2.000e+00,4.890e-02,2.583e-02
3.000e+00,3.919e-02,2.254e-02
4.000e+00,3.351e-02,2.035e-02
5.000e+00,2.976e-02,1.881e-02
6.000e+00,2.711e-02,1.767e-02
8.000e+00,2.363e-02,1.614e-02
1.000e+01,2.146e-02,1.516e-02
1.500e+01,1.855e-02,1.383e-02
2.000e+01,1.717e-02,1.318e-02
# end of file
