# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/tepropane.html
# 
# Tissue-Equivalent Gas, Propane Based
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.721e+03,2.715e+03
1.500e-03,8.909e+02,8.888e+02
2.000e-03,3.928e+02,3.915e+02
3.000e-03,1.202e+02,1.194e+02
4.000e-03,5.103e+01,5.038e+01
5.000e-03,2.607e+01,2.553e+01
6.000e-03,1.503e+01,1.456e+01
8.000e-03,6.320e+00,5.941e+00
1.000e-02,3.272e+00,2.940e+00
1.500e-02,1.080e+00,8.087e-01
2.000e-02,5.648e-01,3.236e-01
3.000e-02,3.040e-01,9.413e-02
4.000e-02,2.375e-01,4.526e-02
5.000e-02,2.104e-01,3.050e-02
6.000e-02,1.955e-01,2.538e-02
8.000e-02,1.783e-01,2.332e-02
1.000e-01,1.672e-01,2.408e-02
1.500e-01,1.485e-01,2.709e-02
2.000e-01,1.355e-01,2.929e-02
3.000e-01,1.175e-01,3.162e-02
4.000e-01,1.052e-01,3.250e-02
5.000e-01,9.599e-02,3.271e-02
6.000e-01,8.876e-02,3.256e-02
8.000e-01,7.795e-02,3.179e-02
1.000e+00,7.008e-02,3.077e-02
1.250e+00,6.267e-02,2.941e-02
1.500e+00,5.703e-02,2.811e-02
2.000e+00,4.892e-02,2.584e-02
3.000e+00,3.918e-02,2.254e-02
4.000e+00,3.347e-02,2.033e-02
5.000e+00,2.970e-02,1.877e-02
6.000e+00,2.703e-02,1.762e-02
8.000e+00,2.352e-02,1.605e-02
1.000e+01,2.133e-02,1.505e-02
1.500e+01,1.837e-02,1.368e-02
2.000e+01,1.695e-02,1.301e-02
# end of file
