# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/testis.html
# 
# Testis
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.824e+03,3.812e+03
1.035e-03,3.489e+03,3.479e+03
1.072e-03,3.182e+03,3.173e+03
1.072e-03,3.194e+03,3.184e+03
1.500e-03,1.291e+03,1.288e+03
2.000e-03,5.783e+02,5.763e+02
2.145e-03,4.737e+02,4.719e+02
2.145e-03,4.759e+02,4.740e+02
2.303e-03,3.889e+02,3.872e+02
2.472e-03,3.174e+02,3.159e+02
2.472e-03,3.211e+02,3.193e+02
2.641e-03,2.654e+02,2.638e+02
2.822e-03,2.193e+02,2.178e+02
2.822e-03,2.222e+02,2.205e+02
3.000e-03,1.864e+02,1.849e+02
3.607e-03,1.088e+02,1.077e+02
3.607e-03,1.109e+02,1.095e+02
4.000e-03,8.188e+01,8.071e+01
5.000e-03,4.229e+01,4.147e+01
6.000e-03,2.456e+01,2.391e+01
8.000e-03,1.039e+01,9.916e+00
1.000e-02,5.357e+00,4.967e+00
1.500e-02,1.689e+00,1.392e+00
2.000e-02,8.182e-01,5.606e-01
3.000e-02,3.778e-01,1.596e-01
4.000e-02,2.687e-01,7.125e-02
5.000e-02,2.266e-01,4.315e-02
6.000e-02,2.053e-01,3.240e-02
8.000e-02,1.828e-01,2.611e-02
1.000e-01,1.699e-01,2.547e-02
1.500e-01,1.497e-01,2.753e-02
2.000e-01,1.363e-01,2.952e-02
3.000e-01,1.180e-01,3.175e-02
4.000e-01,1.055e-01,3.261e-02
5.000e-01,9.633e-02,3.281e-02
6.000e-01,8.906e-02,3.266e-02
8.000e-01,7.822e-02,3.188e-02
1.000e+00,7.032e-02,3.086e-02
1.250e+00,6.288e-02,2.949e-02
1.500e+00,5.722e-02,2.818e-02
2.000e+00,4.914e-02,2.593e-02
3.000e+00,3.945e-02,2.268e-02
4.000e+00,3.382e-02,2.053e-02
5.000e+00,3.012e-02,1.903e-02
6.000e+00,2.752e-02,1.793e-02
8.000e+00,2.411e-02,1.646e-02
1.000e+01,2.202e-02,1.554e-02
1.500e+01,1.924e-02,1.428e-02
2.000e+01,1.796e-02,1.368e-02
# end of file
