# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/vinyl.html
# 
# Plastic Scintillator, Vinyltoluene
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.024e+03,2.022e+03
1.500e-03,6.409e+02,6.397e+02
2.000e-03,2.770e+02,2.760e+02
3.000e-03,8.270e+01,8.203e+01
4.000e-03,3.461e+01,3.407e+01
5.000e-03,1.753e+01,1.707e+01
6.000e-03,1.005e+01,9.650e+00
8.000e-03,4.220e+00,3.883e+00
1.000e-02,2.204e+00,1.903e+00
1.500e-02,7.705e-01,5.158e-01
2.000e-02,4.358e-01,2.059e-01
3.000e-02,2.647e-01,6.210e-02
4.000e-02,2.194e-01,3.256e-02
5.000e-02,1.997e-01,2.424e-02
6.000e-02,1.881e-01,2.180e-02
8.000e-02,1.736e-01,2.172e-02
1.000e-01,1.635e-01,2.310e-02
1.500e-01,1.458e-01,2.650e-02
2.000e-01,1.331e-01,2.876e-02
3.000e-01,1.155e-01,3.110e-02
4.000e-01,1.034e-01,3.197e-02
5.000e-01,9.443e-02,3.218e-02
6.000e-01,8.732e-02,3.204e-02
8.000e-01,7.668e-02,3.128e-02
1.000e+00,6.894e-02,3.027e-02
1.250e+00,6.166e-02,2.894e-02
1.500e+00,5.611e-02,2.766e-02
2.000e+00,4.810e-02,2.542e-02
3.000e+00,3.848e-02,2.214e-02
4.000e+00,3.282e-02,1.992e-02
5.000e+00,2.907e-02,1.835e-02
6.000e+00,2.641e-02,1.718e-02
8.000e+00,2.290e-02,1.558e-02
1.000e+01,2.069e-02,1.455e-02
1.500e+01,1.770e-02,1.309e-02
2.000e+01,1.624e-02,1.236e-02
# end of file
