# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/water.html
# 
# Water, Liquid
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.078e+03,4.065e+03
1.500e-03,1.376e+03,1.372e+03
2.000e-03,6.173e+02,6.152e+02
3.000e-03,1.929e+02,1.917e+02
4.000e-03,8.278e+01,8.191e+01
5.000e-03,4.258e+01,4.188e+01
6.000e-03,2.464e+01,2.405e+01
8.000e-03,1.037e+01,9.915e+00
1.000e-02,5.329e+00,4.944e+00
1.500e-02,1.673e+00,1.374e+00
2.000e-02,8.096e-01,5.503e-01
3.000e-02,3.756e-01,1.557e-01
4.000e-02,2.683e-01,6.947e-02
5.000e-02,2.269e-01,4.223e-02
6.000e-02,2.059e-01,3.190e-02
8.000e-02,1.837e-01,2.597e-02
1.000e-01,1.707e-01,2.546e-02
1.500e-01,1.505e-01,2.764e-02
2.000e-01,1.370e-01,2.967e-02
3.000e-01,1.186e-01,3.192e-02
4.000e-01,1.061e-01,3.279e-02
5.000e-01,9.687e-02,3.299e-02
6.000e-01,8.956e-02,3.284e-02
8.000e-01,7.865e-02,3.206e-02
1.000e+00,7.072e-02,3.103e-02
1.250e+00,6.323e-02,2.965e-02
1.500e+00,5.754e-02,2.833e-02
2.000e+00,4.942e-02,2.608e-02
3.000e+00,3.969e-02,2.281e-02
4.000e+00,3.403e-02,2.066e-02
5.000e+00,3.031e-02,1.915e-02
6.000e+00,2.770e-02,1.806e-02
8.000e+00,2.429e-02,1.658e-02
1.000e+01,2.219e-02,1.566e-02
1.500e+01,1.941e-02,1.441e-02
2.000e+01,1.813e-02,1.382e-02
# end of file
