# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z02.html
# 
# Helium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,6.084e+01,6.045e+01
1.500e-03,1.676e+01,1.638e+01
2.000e-03,6.863e+00,6.503e+00
3.000e-03,2.007e+00,1.681e+00
4.000e-03,9.329e-01,6.379e-01
5.000e-03,5.766e-01,3.061e-01
6.000e-03,4.195e-01,1.671e-01
8.000e-03,2.933e-01,6.446e-02
1.000e-02,2.476e-01,3.260e-02
1.500e-02,2.092e-01,1.246e-02
2.000e-02,1.960e-01,9.410e-03
3.000e-02,1.838e-01,1.003e-02
4.000e-02,1.763e-01,1.190e-02
5.000e-02,1.703e-01,1.375e-02
6.000e-02,1.651e-01,1.544e-02
8.000e-02,1.562e-01,1.826e-02
1.000e-01,1.486e-01,2.047e-02
1.500e-01,1.336e-01,2.424e-02
2.000e-01,1.224e-01,2.647e-02
3.000e-01,1.064e-01,2.868e-02
4.000e-01,9.535e-02,2.951e-02
5.000e-01,8.707e-02,2.971e-02
6.000e-01,8.054e-02,2.959e-02
8.000e-01,7.076e-02,2.890e-02
1.000e+00,6.362e-02,2.797e-02
1.250e+00,5.688e-02,2.674e-02
1.500e+00,5.173e-02,2.555e-02
2.000e+00,4.422e-02,2.343e-02
3.000e+00,3.503e-02,2.019e-02
4.000e+00,2.949e-02,1.790e-02
5.000e+00,2.577e-02,1.622e-02
6.000e+00,2.307e-02,1.493e-02
8.000e+00,1.940e-02,1.308e-02
1.000e+01,1.703e-02,1.183e-02
1.500e+01,1.363e-02,9.948e-03
2.000e+01,1.183e-02,8.914e-03
# end of file
