# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z03.html
# 
# Lithium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.339e+02,2.335e+02
1.500e-03,6.668e+01,6.629e+01
2.000e-03,2.707e+01,2.672e+01
3.000e-03,7.549e+00,7.249e+00
4.000e-03,3.114e+00,2.840e+00
5.000e-03,1.619e+00,1.364e+00
6.000e-03,9.875e-01,7.477e-01
8.000e-03,5.054e-01,2.888e-01
1.000e-02,3.395e-01,1.387e-01
1.500e-02,2.176e-01,3.910e-02
2.000e-02,1.856e-01,1.885e-02
3.000e-02,1.644e-01,1.138e-02
4.000e-02,1.551e-01,1.131e-02
5.000e-02,1.488e-01,1.237e-02
6.000e-02,1.438e-01,1.361e-02
8.000e-02,1.356e-01,1.588e-02
1.000e-01,1.289e-01,1.776e-02
1.500e-01,1.158e-01,2.098e-02
2.000e-01,1.060e-01,2.290e-02
3.000e-01,9.210e-02,2.481e-02
4.000e-01,8.249e-02,2.552e-02
5.000e-01,7.532e-02,2.569e-02
6.000e-01,6.968e-02,2.559e-02
8.000e-01,6.121e-02,2.499e-02
1.000e+00,5.503e-02,2.419e-02
1.250e+00,4.921e-02,2.312e-02
1.500e+00,4.476e-02,2.210e-02
2.000e+00,3.830e-02,2.028e-02
3.000e+00,3.043e-02,1.753e-02
4.000e+00,2.572e-02,1.561e-02
5.000e+00,2.257e-02,1.422e-02
6.000e+00,2.030e-02,1.316e-02
8.000e+00,1.725e-02,1.167e-02
1.000e+01,1.529e-02,1.066e-02
1.500e+01,1.252e-02,9.182e-03
2.000e+01,1.109e-02,8.385e-03
# end of file
