# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z04.html
# 
# Beryllium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,6.041e+02,6.035e+02
1.500e-03,1.797e+02,1.791e+02
2.000e-03,7.469e+01,7.422e+01
3.000e-03,2.127e+01,2.090e+01
4.000e-03,8.685e+00,8.367e+00
5.000e-03,4.369e+00,4.081e+00
6.000e-03,2.527e+00,2.260e+00
8.000e-03,1.124e+00,8.839e-01
1.000e-02,6.466e-01,4.255e-01
1.500e-02,3.070e-01,1.143e-01
2.000e-02,2.251e-01,4.780e-02
3.000e-02,1.792e-01,1.898e-02
4.000e-02,1.640e-01,1.438e-02
5.000e-02,1.554e-01,1.401e-02
6.000e-02,1.493e-01,1.468e-02
8.000e-02,1.401e-01,1.658e-02
1.000e-01,1.328e-01,1.836e-02
1.500e-01,1.190e-01,2.157e-02
2.000e-01,1.089e-01,2.353e-02
3.000e-01,9.463e-02,2.548e-02
4.000e-01,8.471e-02,2.620e-02
5.000e-01,7.739e-02,2.639e-02
6.000e-01,7.155e-02,2.627e-02
8.000e-01,6.286e-02,2.565e-02
1.000e+00,5.652e-02,2.483e-02
1.250e+00,5.054e-02,2.373e-02
1.500e+00,4.597e-02,2.268e-02
2.000e+00,3.938e-02,2.083e-02
3.000e+00,3.138e-02,1.806e-02
4.000e+00,2.664e-02,1.617e-02
5.000e+00,2.347e-02,1.479e-02
6.000e+00,2.121e-02,1.377e-02
8.000e+00,1.819e-02,1.233e-02
1.000e+01,1.627e-02,1.138e-02
1.500e+01,1.361e-02,1.001e-02
2.000e+01,1.227e-02,9.294e-03
# end of file
