# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z05.html
# 
# Boron
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,1.229e+03,1.228e+03
1.500e-03,3.766e+02,3.759e+02
2.000e-03,1.597e+02,1.591e+02
3.000e-03,4.667e+01,4.617e+01
4.000e-03,1.927e+01,1.886e+01
5.000e-03,9.683e+00,9.332e+00
6.000e-03,5.538e+00,5.223e+00
8.000e-03,2.346e+00,2.072e+00
1.000e-02,1.255e+00,1.006e+00
1.500e-02,4.827e-01,2.698e-01
2.000e-02,3.014e-01,1.084e-01
3.000e-02,2.063e-01,3.506e-02
4.000e-02,1.793e-01,2.084e-02
5.000e-02,1.665e-01,1.737e-02
6.000e-02,1.583e-01,1.680e-02
8.000e-02,1.472e-01,1.785e-02
1.000e-01,1.391e-01,1.940e-02
1.500e-01,1.243e-01,2.255e-02
2.000e-01,1.136e-01,2.453e-02
3.000e-01,9.862e-02,2.654e-02
4.000e-01,8.834e-02,2.731e-02
5.000e-01,8.065e-02,2.749e-02
6.000e-01,7.460e-02,2.737e-02
8.000e-01,6.549e-02,2.671e-02
1.000e+00,5.890e-02,2.586e-02
1.250e+00,5.266e-02,2.472e-02
1.500e+00,4.791e-02,2.362e-02
2.000e+00,4.108e-02,2.171e-02
3.000e+00,3.284e-02,1.889e-02
4.000e+00,2.798e-02,1.698e-02
5.000e+00,2.476e-02,1.562e-02
6.000e+00,2.248e-02,1.461e-02
8.000e+00,1.945e-02,1.322e-02
1.000e+01,1.755e-02,1.232e-02
1.500e+01,1.495e-02,1.104e-02
2.000e+01,1.368e-02,1.039e-02
# end of file
