# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html
# 
# Carbon, Graphite
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.211e+03,2.209e+03
1.500e-03,7.002e+02,6.990e+02
2.000e-03,3.026e+02,3.016e+02
3.000e-03,9.033e+01,8.963e+01
4.000e-03,3.778e+01,3.723e+01
5.000e-03,1.912e+01,1.866e+01
6.000e-03,1.095e+01,1.054e+01
8.000e-03,4.576e+00,4.242e+00
1.000e-02,2.373e+00,2.078e+00
1.500e-02,8.071e-01,5.627e-01
2.000e-02,4.420e-01,2.238e-01
3.000e-02,2.562e-01,6.614e-02
4.000e-02,2.076e-01,3.343e-02
5.000e-02,1.871e-01,2.397e-02
6.000e-02,1.753e-01,2.098e-02
8.000e-02,1.610e-01,2.037e-02
1.000e-01,1.514e-01,2.147e-02
1.500e-01,1.347e-01,2.449e-02
2.000e-01,1.229e-01,2.655e-02
3.000e-01,1.066e-01,2.870e-02
4.000e-01,9.546e-02,2.950e-02
5.000e-01,8.715e-02,2.969e-02
6.000e-01,8.058e-02,2.956e-02
8.000e-01,7.076e-02,2.885e-02
1.000e+00,6.361e-02,2.792e-02
1.250e+00,5.690e-02,2.669e-02
1.500e+00,5.179e-02,2.551e-02
2.000e+00,4.442e-02,2.345e-02
3.000e+00,3.562e-02,2.048e-02
4.000e+00,3.047e-02,1.849e-02
5.000e+00,2.708e-02,1.710e-02
6.000e+00,2.469e-02,1.607e-02
8.000e+00,2.154e-02,1.468e-02
1.000e+01,1.959e-02,1.380e-02
1.500e+01,1.698e-02,1.258e-02
2.000e+01,1.575e-02,1.198e-02
# end of file
