# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z07.html
# 
# Nitrogen
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.311e+03,3.306e+03
1.500e-03,1.083e+03,1.080e+03
2.000e-03,4.769e+02,4.755e+02
3.000e-03,1.456e+02,1.447e+02
4.000e-03,6.166e+01,6.094e+01
5.000e-03,3.144e+01,3.086e+01
6.000e-03,1.809e+01,1.759e+01
8.000e-03,7.562e+00,7.170e+00
1.000e-02,3.879e+00,3.545e+00
1.500e-02,1.236e+00,9.715e-01
2.000e-02,6.178e-01,3.867e-01
3.000e-02,3.066e-01,1.099e-01
4.000e-02,2.288e-01,5.051e-02
5.000e-02,1.980e-01,3.217e-02
6.000e-02,1.817e-01,2.548e-02
8.000e-02,1.639e-01,2.211e-02
1.000e-01,1.529e-01,2.231e-02
1.500e-01,1.353e-01,2.472e-02
2.000e-01,1.233e-01,2.665e-02
3.000e-01,1.068e-01,2.873e-02
4.000e-01,9.557e-02,2.952e-02
5.000e-01,8.719e-02,2.969e-02
6.000e-01,8.063e-02,2.956e-02
8.000e-01,7.081e-02,2.886e-02
1.000e+00,6.364e-02,2.792e-02
1.250e+00,5.693e-02,2.669e-02
1.500e+00,5.180e-02,2.550e-02
2.000e+00,4.450e-02,2.347e-02
3.000e+00,3.579e-02,2.057e-02
4.000e+00,3.073e-02,1.867e-02
5.000e+00,2.742e-02,1.734e-02
6.000e+00,2.511e-02,1.639e-02
8.000e+00,2.209e-02,1.512e-02
1.000e+01,2.024e-02,1.434e-02
1.500e+01,1.782e-02,1.332e-02
2.000e+01,1.673e-02,1.285e-02
# end of file
