# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z08.html
# 
# Oxygen
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.590e+03,4.576e+03
1.500e-03,1.549e+03,1.545e+03
2.000e-03,6.949e+02,6.926e+02
3.000e-03,2.171e+02,2.158e+02
4.000e-03,9.315e+01,9.221e+01
5.000e-03,4.790e+01,4.715e+01
6.000e-03,2.770e+01,2.708e+01
8.000e-03,1.163e+01,1.116e+01
1.000e-02,5.952e+00,5.565e+00
1.500e-02,1.836e+00,1.545e+00
2.000e-02,8.651e-01,6.179e-01
3.000e-02,3.779e-01,1.729e-01
4.000e-02,2.585e-01,7.530e-02
5.000e-02,2.132e-01,4.414e-02
6.000e-02,1.907e-01,3.207e-02
8.000e-02,1.678e-01,2.468e-02
1.000e-01,1.551e-01,2.355e-02
1.500e-01,1.361e-01,2.506e-02
2.000e-01,1.237e-01,2.679e-02
3.000e-01,1.070e-01,2.877e-02
4.000e-01,9.566e-02,2.953e-02
5.000e-01,8.729e-02,2.971e-02
6.000e-01,8.070e-02,2.957e-02
8.000e-01,7.087e-02,2.887e-02
1.000e+00,6.372e-02,2.794e-02
1.250e+00,5.697e-02,2.669e-02
1.500e+00,5.185e-02,2.551e-02
2.000e+00,4.459e-02,2.350e-02
3.000e+00,3.597e-02,2.066e-02
4.000e+00,3.100e-02,1.882e-02
5.000e+00,2.777e-02,1.757e-02
6.000e+00,2.552e-02,1.668e-02
8.000e+00,2.263e-02,1.553e-02
1.000e+01,2.089e-02,1.483e-02
1.500e+01,1.866e-02,1.396e-02
2.000e+01,1.770e-02,1.360e-02
# end of file
