# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z09.html
# 
# Fluorine
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,5.649e+03,5.615e+03
1.500e-03,1.979e+03,1.969e+03
2.000e-03,9.047e+02,9.005e+02
3.000e-03,2.888e+02,2.870e+02
4.000e-03,1.256e+02,1.244e+02
5.000e-03,6.514e+01,6.424e+01
6.000e-03,3.789e+01,3.716e+01
8.000e-03,1.602e+01,1.548e+01
1.000e-02,8.205e+00,7.776e+00
1.500e-02,2.492e+00,2.186e+00
2.000e-02,1.133e+00,8.796e-01
3.000e-02,4.487e-01,2.451e-01
4.000e-02,2.828e-01,1.036e-01
5.000e-02,2.214e-01,5.747e-02
6.000e-02,1.920e-01,3.903e-02
8.000e-02,1.639e-01,2.676e-02
1.000e-01,1.496e-01,2.394e-02
1.500e-01,1.298e-01,2.417e-02
2.000e-01,1.176e-01,2.554e-02
3.000e-01,1.015e-01,2.729e-02
4.000e-01,9.073e-02,2.800e-02
5.000e-01,8.274e-02,2.815e-02
6.000e-01,7.649e-02,2.801e-02
8.000e-01,6.717e-02,2.734e-02
1.000e+00,6.037e-02,2.645e-02
1.250e+00,5.399e-02,2.527e-02
1.500e+00,4.915e-02,2.416e-02
2.000e+00,4.228e-02,2.226e-02
3.000e+00,3.422e-02,1.964e-02
4.000e+00,2.960e-02,1.797e-02
5.000e+00,2.663e-02,1.685e-02
6.000e+00,2.457e-02,1.607e-02
8.000e+00,2.195e-02,1.508e-02
1.000e+01,2.039e-02,1.451e-02
1.500e+01,1.846e-02,1.382e-02
2.000e+01,1.769e-02,1.357e-02
# end of file
