# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z10.html
# 
# Neon
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,7.409e+03,7.326e+03
1.500e-03,2.666e+03,2.645e+03
2.000e-03,1.243e+03,1.234e+03
3.000e-03,4.051e+02,4.021e+02
4.000e-03,1.785e+02,1.767e+02
5.000e-03,9.339e+01,9.214e+01
6.000e-03,5.467e+01,5.369e+01
8.000e-03,2.328e+01,2.260e+01
1.000e-02,1.197e+01,1.143e+01
1.500e-02,3.613e+00,3.253e+00
2.000e-02,1.606e+00,1.317e+00
3.000e-02,5.923e-01,3.676e-01
4.000e-02,3.473e-01,1.528e-01
5.000e-02,2.579e-01,8.182e-02
6.000e-02,2.161e-01,5.287e-02
8.000e-02,1.781e-01,3.273e-02
1.000e-01,1.600e-01,2.733e-02
1.500e-01,1.370e-01,2.590e-02
2.000e-01,1.236e-01,2.697e-02
3.000e-01,1.064e-01,2.862e-02
4.000e-01,9.502e-02,2.931e-02
5.000e-01,8.664e-02,2.946e-02
6.000e-01,8.006e-02,2.930e-02
8.000e-01,7.029e-02,2.860e-02
1.000e+00,6.316e-02,2.766e-02
1.250e+00,5.646e-02,2.641e-02
1.500e+00,5.145e-02,2.526e-02
2.000e+00,4.430e-02,2.330e-02
3.000e+00,3.594e-02,2.061e-02
4.000e+00,3.122e-02,1.894e-02
5.000e+00,2.818e-02,1.784e-02
6.000e+00,2.610e-02,1.709e-02
8.000e+00,2.348e-02,1.616e-02
1.000e+01,2.197e-02,1.564e-02
1.500e+01,2.013e-02,1.508e-02
2.000e+01,1.946e-02,1.491e-02
# end of file
