# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z11.html
# 
# Sodium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,6.542e+02,6.522e+02
1.035e-03,5.960e+02,5.941e+02
1.072e-03,5.429e+02,5.410e+02
1.072e-03,6.435e+03,6.320e+03
1.500e-03,3.194e+03,3.151e+03
2.000e-03,1.521e+03,1.504e+03
3.000e-03,5.070e+02,5.023e+02
4.000e-03,2.261e+02,2.238e+02
5.000e-03,1.194e+02,1.178e+02
6.000e-03,7.030e+01,6.915e+01
8.000e-03,3.018e+01,2.941e+01
1.000e-02,1.557e+01,1.499e+01
1.500e-02,4.694e+00,4.313e+00
2.000e-02,2.057e+00,1.759e+00
3.000e-02,7.197e-01,4.928e-01
4.000e-02,3.969e-01,2.031e-01
5.000e-02,2.804e-01,1.063e-01
6.000e-02,2.268e-01,6.625e-02
8.000e-02,1.796e-01,3.761e-02
1.000e-01,1.585e-01,2.931e-02
1.500e-01,1.335e-01,2.579e-02
2.000e-01,1.199e-01,2.635e-02
3.000e-01,1.029e-01,2.771e-02
4.000e-01,9.185e-02,2.833e-02
5.000e-01,8.372e-02,2.845e-02
6.000e-01,7.736e-02,2.830e-02
8.000e-01,6.788e-02,2.760e-02
1.000e+00,6.100e-02,2.669e-02
1.250e+00,5.454e-02,2.549e-02
1.500e+00,4.968e-02,2.437e-02
2.000e+00,4.282e-02,2.249e-02
3.000e+00,3.487e-02,1.997e-02
4.000e+00,3.037e-02,1.842e-02
5.000e+00,2.753e-02,1.743e-02
6.000e+00,2.559e-02,1.675e-02
8.000e+00,2.319e-02,1.595e-02
1.000e+01,2.181e-02,1.552e-02
1.500e+01,2.023e-02,1.508e-02
2.000e+01,1.970e-02,1.496e-02
# end of file
