# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z12.html
# 
# Magnesium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,9.225e+02,9.203e+02
1.142e-03,6.474e+02,6.452e+02
1.305e-03,4.530e+02,4.509e+02
1.305e-03,5.444e+03,5.310e+03
1.500e-03,4.004e+03,3.918e+03
2.000e-03,1.932e+03,1.899e+03
3.000e-03,6.585e+02,6.499e+02
4.000e-03,2.974e+02,2.937e+02
5.000e-03,1.583e+02,1.561e+02
6.000e-03,9.381e+01,9.227e+01
8.000e-03,4.061e+01,3.965e+01
1.000e-02,2.105e+01,2.036e+01
1.500e-02,6.358e+00,5.925e+00
2.000e-02,2.763e+00,2.432e+00
3.000e-02,9.306e-01,6.855e-01
4.000e-02,4.881e-01,2.815e-01
5.000e-02,3.292e-01,1.451e-01
6.000e-02,2.570e-01,8.820e-02
8.000e-02,1.951e-01,4.671e-02
1.000e-01,1.686e-01,3.410e-02
1.500e-01,1.394e-01,2.766e-02
2.000e-01,1.245e-01,2.761e-02
3.000e-01,1.065e-01,2.871e-02
4.000e-01,9.492e-02,2.928e-02
5.000e-01,8.647e-02,2.938e-02
6.000e-01,7.988e-02,2.921e-02
8.000e-01,7.008e-02,2.848e-02
1.000e+00,6.296e-02,2.753e-02
1.250e+00,5.629e-02,2.629e-02
1.500e+00,5.129e-02,2.514e-02
2.000e+00,4.426e-02,2.322e-02
3.000e+00,3.613e-02,2.067e-02
4.000e+00,3.159e-02,1.915e-02
5.000e+00,2.873e-02,1.819e-02
6.000e+00,2.681e-02,1.756e-02
8.000e+00,2.445e-02,1.683e-02
1.000e+01,2.313e-02,1.646e-02
1.500e+01,2.168e-02,1.614e-02
2.000e+01,2.127e-02,1.609e-02
# end of file
