# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z14.html
# 
# SiliconSILICON
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,1.570e+03,1.567e+03
1.500e-03,5.355e+02,5.331e+02
1.839e-03,3.092e+02,3.070e+02
1.839e-03,3.192e+03,3.059e+03
2.000e-03,2.777e+03,2.669e+03
3.000e-03,9.784e+02,9.516e+02
4.000e-03,4.529e+02,4.427e+02
5.000e-03,2.450e+02,2.400e+02
6.000e-03,1.470e+02,1.439e+02
8.000e-03,6.468e+01,6.313e+01
1.000e-02,3.389e+01,3.289e+01
1.500e-02,1.034e+01,9.794e+00
2.000e-02,4.464e+00,4.076e+00
3.000e-02,1.436e+00,1.164e+00
4.000e-02,7.012e-01,4.782e-01
5.000e-02,4.385e-01,2.430e-01
6.000e-02,3.207e-01,1.434e-01
8.000e-02,2.228e-01,6.896e-02
1.000e-01,1.835e-01,4.513e-02
1.500e-01,1.448e-01,3.086e-02
2.000e-01,1.275e-01,2.905e-02
3.000e-01,1.082e-01,2.932e-02
4.000e-01,9.614e-02,2.968e-02
5.000e-01,8.748e-02,2.971e-02
6.000e-01,8.077e-02,2.951e-02
8.000e-01,7.082e-02,2.875e-02
1.000e+00,6.361e-02,2.778e-02
1.250e+00,5.688e-02,2.652e-02
1.500e+00,5.183e-02,2.535e-02
2.000e+00,4.480e-02,2.345e-02
3.000e+00,3.678e-02,2.101e-02
4.000e+00,3.240e-02,1.963e-02
5.000e+00,2.967e-02,1.878e-02
6.000e+00,2.788e-02,1.827e-02
8.000e+00,2.574e-02,1.773e-02
1.000e+01,2.462e-02,1.753e-02
1.500e+01,2.352e-02,1.746e-02
2.000e+01,2.338e-02,1.757e-02
# end of file
