# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z15.html
# 
# Phosphorus
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,1.913e+03,1.910e+03
1.500e-03,6.547e+02,6.522e+02
2.000e-03,3.018e+02,2.996e+02
2.145e-03,2.494e+02,2.473e+02
2.145e-03,2.473e+03,2.343e+03
3.000e-03,1.118e+03,1.074e+03
4.000e-03,5.242e+02,5.079e+02
5.000e-03,2.860e+02,2.782e+02
6.000e-03,1.726e+02,1.682e+02
8.000e-03,7.660e+01,7.457e+01
1.000e-02,4.035e+01,3.912e+01
1.500e-02,1.239e+01,1.179e+01
2.000e-02,5.352e+00,4.939e+00
3.000e-02,1.700e+00,1.422e+00
4.000e-02,8.096e-01,5.850e-01
5.000e-02,4.916e-01,2.965e-01
6.000e-02,3.494e-01,1.735e-01
8.000e-02,2.324e-01,8.083e-02
1.000e-01,1.865e-01,5.068e-02
1.500e-01,1.432e-01,3.188e-02
2.000e-01,1.250e-01,2.899e-02
3.000e-01,1.055e-01,2.870e-02
4.000e-01,9.359e-02,2.892e-02
5.000e-01,8.511e-02,2.891e-02
6.000e-01,7.854e-02,2.869e-02
8.000e-01,6.884e-02,2.793e-02
1.000e+00,6.182e-02,2.698e-02
1.250e+00,5.526e-02,2.575e-02
1.500e+00,5.039e-02,2.462e-02
2.000e+00,4.358e-02,2.279e-02
3.000e+00,3.590e-02,2.049e-02
4.000e+00,3.172e-02,1.921e-02
5.000e+00,2.915e-02,1.846e-02
6.000e+00,2.747e-02,1.801e-02
8.000e+00,2.552e-02,1.760e-02
1.000e+01,2.452e-02,1.747e-02
1.500e+01,2.364e-02,1.754e-02
2.000e+01,2.363e-02,1.771e-02
# end of file
