# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z16.html
# 
# Sulfur
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.429e+03,2.426e+03
1.500e-03,8.342e+02,8.314e+02
2.000e-03,3.853e+02,3.828e+02
2.472e-03,2.168e+02,2.145e+02
2.472e-03,2.070e+03,1.935e+03
3.000e-03,1.339e+03,1.265e+03
4.000e-03,6.338e+02,6.066e+02
5.000e-03,3.487e+02,3.360e+02
6.000e-03,2.116e+02,2.046e+02
8.000e-03,9.465e+01,9.171e+01
1.000e-02,5.012e+01,4.847e+01
1.500e-02,1.550e+01,1.477e+01
2.000e-02,6.708e+00,6.235e+00
3.000e-02,2.113e+00,1.809e+00
4.000e-02,9.872e-01,7.466e-01
5.000e-02,5.849e-01,3.779e-01
6.000e-02,4.053e-01,2.199e-01
8.000e-02,2.585e-01,1.000e-01
1.000e-01,2.020e-01,6.052e-02
1.500e-01,1.506e-01,3.516e-02
2.000e-01,1.302e-01,3.080e-02
3.000e-01,1.091e-01,2.983e-02
4.000e-01,9.665e-02,2.991e-02
5.000e-01,8.781e-02,2.984e-02
6.000e-01,8.102e-02,2.959e-02
8.000e-01,7.098e-02,2.878e-02
1.000e+00,6.373e-02,2.780e-02
1.250e+00,5.697e-02,2.652e-02
1.500e+00,5.193e-02,2.535e-02
2.000e+00,4.498e-02,2.349e-02
3.000e+00,3.715e-02,2.118e-02
4.000e+00,3.293e-02,1.993e-02
5.000e+00,3.036e-02,1.923e-02
6.000e+00,2.872e-02,1.884e-02
8.000e+00,2.682e-02,1.850e-02
1.000e+01,2.589e-02,1.845e-02
1.500e+01,2.517e-02,1.864e-02
2.000e+01,2.529e-02,1.889e-02
# end of file
