# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z17.html
# 
# Chlorine
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.832e+03,2.829e+03
1.500e-03,9.771e+02,9.742e+02
2.000e-03,4.520e+02,4.494e+02
2.822e-03,1.774e+02,1.752e+02
2.822e-03,1.637e+03,1.506e+03
3.000e-03,1.473e+03,1.361e+03
4.000e-03,7.037e+02,6.626e+02
5.000e-03,3.901e+02,3.711e+02
6.000e-03,2.384e+02,2.282e+02
8.000e-03,1.075e+02,1.034e+02
1.000e-02,5.725e+01,5.510e+01
1.500e-02,1.784e+01,1.700e+01
2.000e-02,7.739e+00,7.227e+00
3.000e-02,2.425e+00,2.114e+00
4.000e-02,1.117e+00,8.756e-01
5.000e-02,6.483e-01,4.433e-01
6.000e-02,4.395e-01,2.570e-01
8.000e-02,2.696e-01,1.148e-01
1.000e-01,2.050e-01,6.745e-02
1.500e-01,1.480e-01,3.639e-02
2.000e-01,1.266e-01,3.067e-02
3.000e-01,1.054e-01,2.898e-02
4.000e-01,9.311e-02,2.887e-02
5.000e-01,8.453e-02,2.874e-02
6.000e-01,7.795e-02,2.847e-02
8.000e-01,6.826e-02,2.767e-02
1.000e+00,6.128e-02,2.671e-02
1.250e+00,5.478e-02,2.549e-02
1.500e+00,4.994e-02,2.436e-02
2.000e+00,4.328e-02,2.258e-02
3.000e+00,3.585e-02,2.043e-02
4.000e+00,3.188e-02,1.931e-02
5.000e+00,2.950e-02,1.871e-02
6.000e+00,2.798e-02,1.839e-02
8.000e+00,2.628e-02,1.819e-02
1.000e+01,2.549e-02,1.824e-02
1.500e+01,2.496e-02,1.861e-02
2.000e+01,2.520e-02,1.899e-02
# end of file
