# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z18.html
# 
# Argon
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.184e+03,3.180e+03
1.500e-03,1.105e+03,1.102e+03
2.000e-03,5.120e+02,5.093e+02
3.000e-03,1.703e+02,1.682e+02
3.203e-03,1.424e+02,1.403e+02
3.203e-03,1.275e+03,1.153e+03
4.000e-03,7.572e+02,6.979e+02
5.000e-03,4.225e+02,3.953e+02
6.000e-03,2.593e+02,2.449e+02
8.000e-03,1.180e+02,1.125e+02
1.000e-02,6.316e+01,6.038e+01
1.500e-02,1.983e+01,1.886e+01
2.000e-02,8.629e+00,8.074e+00
3.000e-02,2.697e+00,2.382e+00
4.000e-02,1.228e+00,9.907e-01
5.000e-02,7.012e-01,5.020e-01
6.000e-02,4.664e-01,2.904e-01
8.000e-02,2.760e-01,1.280e-01
1.000e-01,2.043e-01,7.344e-02
1.500e-01,1.427e-01,3.703e-02
2.000e-01,1.205e-01,2.998e-02
3.000e-01,9.953e-02,2.757e-02
4.000e-01,8.776e-02,2.727e-02
5.000e-01,7.958e-02,2.708e-02
6.000e-01,7.335e-02,2.679e-02
8.000e-01,6.419e-02,2.601e-02
1.000e+00,5.762e-02,2.510e-02
1.250e+00,5.150e-02,2.394e-02
1.500e+00,4.695e-02,2.288e-02
2.000e+00,4.074e-02,2.123e-02
3.000e+00,3.384e-02,1.927e-02
4.000e+00,3.019e-02,1.827e-02
5.000e+00,2.802e-02,1.777e-02
6.000e+00,2.667e-02,1.753e-02
8.000e+00,2.517e-02,1.742e-02
1.000e+01,2.451e-02,1.754e-02
1.500e+01,2.418e-02,1.800e-02
2.000e+01,2.453e-02,1.842e-02
# end of file
