# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z19.html
# 
# Potassium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.058e+03,4.053e+03
1.500e-03,1.418e+03,1.415e+03
2.000e-03,6.592e+02,6.563e+02
3.000e-03,2.198e+02,2.174e+02
3.607e-03,1.327e+02,1.306e+02
3.607e-03,1.201e+03,1.065e+03
4.000e-03,9.256e+02,8.304e+02
5.000e-03,5.189e+02,4.752e+02
6.000e-03,3.205e+02,2.974e+02
8.000e-03,1.469e+02,1.383e+02
1.000e-02,7.907e+01,7.490e+01
1.500e-02,2.503e+01,2.370e+01
2.000e-02,1.093e+01,1.023e+01
3.000e-02,3.413e+00,3.045e+00
4.000e-02,1.541e+00,1.272e+00
5.000e-02,8.679e-01,6.454e-01
6.000e-02,5.678e-01,3.730e-01
8.000e-02,3.251e-01,1.628e-01
1.000e-01,2.345e-01,9.161e-02
1.500e-01,1.582e-01,4.346e-02
2.000e-01,1.319e-01,3.378e-02
3.000e-01,1.080e-01,3.015e-02
4.000e-01,9.495e-02,2.959e-02
5.000e-01,8.600e-02,2.929e-02
6.000e-01,7.922e-02,2.895e-02
8.000e-01,6.929e-02,2.807e-02
1.000e+00,6.216e-02,2.707e-02
1.250e+00,5.556e-02,2.581e-02
1.500e+00,5.068e-02,2.467e-02
2.000e+00,4.399e-02,2.290e-02
3.000e+00,3.666e-02,2.084e-02
4.000e+00,3.282e-02,1.985e-02
5.000e+00,3.054e-02,1.935e-02
6.000e+00,2.915e-02,1.914e-02
8.000e+00,2.766e-02,1.910e-02
1.000e+01,2.704e-02,1.928e-02
1.500e+01,2.687e-02,1.983e-02
2.000e+01,2.737e-02,2.029e-02
# end of file
