# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z20.html
# 
# Calcium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.867e+03,4.861e+03
1.500e-03,1.714e+03,1.710e+03
2.000e-03,7.999e+02,7.966e+02
3.000e-03,2.676e+02,2.650e+02
4.000e-03,1.218e+02,1.197e+02
4.038e-03,1.187e+02,1.166e+02
4.038e-03,1.023e+03,8.887e+02
5.000e-03,6.026e+02,5.373e+02
6.000e-03,3.731e+02,3.387e+02
8.000e-03,1.726e+02,1.600e+02
1.000e-02,9.341e+01,8.744e+01
1.500e-02,2.979e+01,2.804e+01
2.000e-02,1.306e+01,1.220e+01
3.000e-02,4.080e+00,3.665e+00
4.000e-02,1.830e+00,1.538e+00
5.000e-02,1.019e+00,7.822e-01
6.000e-02,6.578e-01,4.520e-01
8.000e-02,3.656e-01,1.958e-01
1.000e-01,2.571e-01,1.085e-01
1.500e-01,1.674e-01,4.876e-02
2.000e-01,1.376e-01,3.639e-02
3.000e-01,1.116e-01,3.146e-02
4.000e-01,9.783e-02,3.060e-02
5.000e-01,8.851e-02,3.019e-02
6.000e-01,8.148e-02,2.979e-02
8.000e-01,7.122e-02,2.884e-02
1.000e+00,6.388e-02,2.780e-02
1.250e+00,5.709e-02,2.650e-02
1.500e+00,5.207e-02,2.532e-02
2.000e+00,4.524e-02,2.352e-02
3.000e+00,3.780e-02,2.147e-02
4.000e+00,3.395e-02,2.052e-02
5.000e+00,3.170e-02,2.007e-02
6.000e+00,3.035e-02,1.992e-02
8.000e+00,2.892e-02,1.997e-02
1.000e+01,2.839e-02,2.022e-02
1.500e+01,2.838e-02,2.088e-02
2.000e+01,2.903e-02,2.140e-02
# end of file
