# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z21.html
# 
# Scandium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,5.238e+03,5.231e+03
1.500e-03,1.858e+03,1.853e+03
2.000e-03,8.706e+02,8.672e+02
3.000e-03,2.922e+02,2.896e+02
4.000e-03,1.332e+02,1.311e+02
4.493e-03,9.687e+01,9.490e+01
4.493e-03,8.148e+02,6.911e+02
5.000e-03,6.305e+02,5.436e+02
6.000e-03,3.933e+02,3.474e+02
8.000e-03,1.828e+02,1.661e+02
1.000e-02,9.952e+01,9.175e+01
1.500e-02,3.202e+01,2.988e+01
2.000e-02,1.409e+01,1.311e+01
3.000e-02,4.409e+00,3.975e+00
4.000e-02,1.969e+00,1.677e+00
5.000e-02,1.087e+00,8.552e-01
6.000e-02,6.932e-01,4.944e-01
8.000e-02,3.753e-01,2.132e-01
1.000e-01,2.577e-01,1.167e-01
1.500e-01,1.619e-01,4.998e-02
2.000e-01,1.310e-01,3.586e-02
3.000e-01,1.052e-01,2.997e-02
4.000e-01,9.193e-02,2.887e-02
5.000e-01,8.305e-02,2.837e-02
6.000e-01,7.639e-02,2.795e-02
8.000e-01,6.675e-02,2.703e-02
1.000e+00,5.985e-02,2.603e-02
1.250e+00,5.347e-02,2.480e-02
1.500e+00,4.878e-02,2.370e-02
2.000e+00,4.243e-02,2.202e-02
3.000e+00,3.554e-02,2.016e-02
4.000e+00,3.202e-02,1.933e-02
5.000e+00,2.999e-02,1.897e-02
6.000e+00,2.878e-02,1.887e-02
8.000e+00,2.756e-02,1.900e-02
1.000e+01,2.715e-02,1.929e-02
1.500e+01,2.732e-02,2.000e-02
2.000e+01,2.804e-02,2.052e-02
# end of file
