# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z22.html
# 
# Titanium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,5.869e+03,5.860e+03
1.500e-03,2.096e+03,2.091e+03
2.000e-03,9.860e+02,9.824e+02
3.000e-03,3.323e+02,3.295e+02
4.000e-03,1.517e+02,1.494e+02
4.966e-03,8.380e+01,8.188e+01
4.966e-03,6.878e+02,5.684e+02
5.000e-03,6.838e+02,5.657e+02
6.000e-03,4.323e+02,3.691e+02
8.000e-03,2.023e+02,1.793e+02
1.000e-02,1.107e+02,1.001e+02
1.500e-02,3.587e+01,3.311e+01
2.000e-02,1.585e+01,1.465e+01
3.000e-02,4.972e+00,4.488e+00
4.000e-02,2.214e+00,1.904e+00
5.000e-02,1.213e+00,9.737e-01
6.000e-02,7.661e-01,5.634e-01
8.000e-02,4.052e-01,2.422e-01
1.000e-01,2.721e-01,1.312e-01
1.500e-01,1.649e-01,5.393e-02
2.000e-01,1.314e-01,3.726e-02
3.000e-01,1.043e-01,3.007e-02
4.000e-01,9.081e-02,2.864e-02
5.000e-01,8.191e-02,2.804e-02
6.000e-01,7.529e-02,2.756e-02
8.000e-01,6.572e-02,2.661e-02
1.000e+00,5.891e-02,2.561e-02
1.250e+00,5.263e-02,2.439e-02
1.500e+00,4.801e-02,2.330e-02
2.000e+00,4.180e-02,2.166e-02
3.000e+00,3.512e-02,1.989e-02
4.000e+00,3.173e-02,1.913e-02
5.000e+00,2.982e-02,1.884e-02
6.000e+00,2.868e-02,1.879e-02
8.000e+00,2.759e-02,1.899e-02
1.000e+01,2.727e-02,1.933e-02
1.500e+01,2.762e-02,2.013e-02
2.000e+01,2.844e-02,2.067e-02
# end of file
