# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z24.html
# 
# Chromium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,7.405e+03,7.388e+03
1.500e-03,2.694e+03,2.687e+03
2.000e-03,1.277e+03,1.272e+03
3.000e-03,4.339e+02,4.305e+02
4.000e-03,1.988e+02,1.961e+02
5.000e-03,1.080e+02,1.057e+02
5.989e-03,6.574e+01,6.383e+01
5.989e-03,5.977e+02,4.027e+02
6.000e-03,5.160e+02,4.027e+02
8.000e-03,2.513e+02,2.087e+02
1.000e-02,1.386e+02,1.193e+02
1.500e-02,4.571e+01,4.093e+01
2.000e-02,2.038e+01,1.846e+01
3.000e-02,6.434e+00,5.780e+00
4.000e-02,2.856e+00,2.482e+00
5.000e-02,1.550e+00,1.278e+00
6.000e-02,9.639e-01,7.420e-01
8.000e-02,4.905e-01,3.182e-01
1.000e-01,3.166e-01,1.701e-01
1.500e-01,1.788e-01,6.536e-02
2.000e-01,1.378e-01,4.211e-02
3.000e-01,1.067e-01,3.160e-02
4.000e-01,9.213e-02,2.938e-02
5.000e-01,8.281e-02,2.849e-02
6.000e-01,7.598e-02,2.788e-02
8.000e-01,6.620e-02,2.680e-02
1.000e+00,5.930e-02,2.576e-02
1.250e+00,5.295e-02,2.450e-02
1.500e+00,4.832e-02,2.340e-02
2.000e+00,4.213e-02,2.178e-02
3.000e+00,3.559e-02,2.011e-02
4.000e+00,3.235e-02,1.947e-02
5.000e+00,3.057e-02,1.929e-02
6.000e+00,2.956e-02,1.933e-02
8.000e+00,2.869e-02,1.970e-02
1.000e+01,2.855e-02,2.016e-02
1.500e+01,2.920e-02,2.112e-02
2.000e+01,3.026e-02,2.174e-02
# end of file
