# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z25.html
# 
# Manganese
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,8.093e+03,8.069e+03
1.500e-03,2.984e+03,2.975e+03
2.000e-03,1.421e+03,1.415e+03
3.000e-03,4.851e+02,4.815e+02
4.000e-03,2.229e+02,2.201e+02
5.000e-03,1.212e+02,1.188e+02
6.000e-03,7.350e+01,7.150e+01
6.539e-03,5.803e+01,5.619e+01
6.539e-03,4.520e+02,3.415e+02
8.000e-03,2.734e+02,2.177e+02
1.000e-02,1.514e+02,1.262e+02
1.500e-02,5.027e+01,4.414e+01
2.000e-02,2.253e+01,2.015e+01
3.000e-02,7.141e+00,6.382e+00
4.000e-02,3.169e+00,2.757e+00
5.000e-02,1.714e+00,1.425e+00
6.000e-02,1.060e+00,8.294e-01
8.000e-02,5.306e-01,3.558e-01
1.000e-01,3.367e-01,1.894e-01
1.500e-01,1.838e-01,7.085e-02
2.000e-01,1.391e-01,4.421e-02
3.000e-01,1.062e-01,3.196e-02
4.000e-01,9.133e-02,2.932e-02
5.000e-01,8.192e-02,2.827e-02
6.000e-01,7.509e-02,2.760e-02
8.000e-01,6.537e-02,2.647e-02
1.000e+00,5.852e-02,2.541e-02
1.250e+00,5.224e-02,2.416e-02
1.500e+00,4.769e-02,2.307e-02
2.000e+00,4.162e-02,2.149e-02
3.000e+00,3.524e-02,1.989e-02
4.000e+00,3.213e-02,1.933e-02
5.000e+00,3.045e-02,1.920e-02
6.000e+00,2.952e-02,1.930e-02
8.000e+00,2.875e-02,1.973e-02
1.000e+01,2.871e-02,2.025e-02
1.500e+01,2.951e-02,2.127e-02
2.000e+01,3.068e-02,2.193e-02
# end of file
