# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z26.html
# 
# Iron
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,9.085e+03,9.052e+03
1.500e-03,3.399e+03,3.388e+03
2.000e-03,1.626e+03,1.620e+03
3.000e-03,5.576e+02,5.535e+02
4.000e-03,2.567e+02,2.536e+02
5.000e-03,1.398e+02,1.372e+02
6.000e-03,8.484e+01,8.265e+01
7.112e-03,5.319e+01,5.133e+01
7.112e-03,4.076e+02,2.978e+02
8.000e-03,3.056e+02,2.316e+02
1.000e-02,1.706e+02,1.369e+02
1.500e-02,5.708e+01,4.896e+01
2.000e-02,2.568e+01,2.260e+01
3.000e-02,8.176e+00,7.251e+00
4.000e-02,3.629e+00,3.155e+00
5.000e-02,1.958e+00,1.638e+00
6.000e-02,1.205e+00,9.555e-01
8.000e-02,5.952e-01,4.104e-01
1.000e-01,3.717e-01,2.177e-01
1.500e-01,1.964e-01,7.961e-02
2.000e-01,1.460e-01,4.825e-02
3.000e-01,1.099e-01,3.361e-02
4.000e-01,9.400e-02,3.039e-02
5.000e-01,8.414e-02,2.914e-02
6.000e-01,7.704e-02,2.836e-02
8.000e-01,6.699e-02,2.714e-02
1.000e+00,5.995e-02,2.603e-02
1.250e+00,5.350e-02,2.472e-02
1.500e+00,4.883e-02,2.360e-02
2.000e+00,4.265e-02,2.199e-02
3.000e+00,3.621e-02,2.042e-02
4.000e+00,3.312e-02,1.990e-02
5.000e+00,3.146e-02,1.983e-02
6.000e+00,3.057e-02,1.997e-02
8.000e+00,2.991e-02,2.050e-02
1.000e+01,2.994e-02,2.108e-02
1.500e+01,3.092e-02,2.221e-02
2.000e+01,3.224e-02,2.292e-02
# end of file
