# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z29.html
# 
# Copper
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,1.057e+04,1.049e+04
1.047e-03,9.307e+03,9.241e+03
1.096e-03,8.242e+03,8.186e+03
1.096e-03,9.347e+03,9.282e+03
1.500e-03,4.418e+03,4.393e+03
2.000e-03,2.154e+03,2.142e+03
3.000e-03,7.488e+02,7.430e+02
4.000e-03,3.473e+02,3.432e+02
5.000e-03,1.899e+02,1.866e+02
6.000e-03,1.156e+02,1.128e+02
8.000e-03,5.255e+01,5.054e+01
8.979e-03,3.829e+01,3.652e+01
8.979e-03,2.784e+02,1.824e+02
1.000e-02,2.159e+02,1.484e+02
1.500e-02,7.405e+01,5.788e+01
2.000e-02,3.379e+01,2.788e+01
3.000e-02,1.092e+01,9.349e+00
4.000e-02,4.862e+00,4.163e+00
5.000e-02,2.613e+00,2.192e+00
6.000e-02,1.593e+00,1.290e+00
8.000e-02,7.630e-01,5.581e-01
1.000e-01,4.584e-01,2.949e-01
1.500e-01,2.217e-01,1.027e-01
2.000e-01,1.559e-01,5.781e-02
3.000e-01,1.119e-01,3.617e-02
4.000e-01,9.413e-02,3.121e-02
5.000e-01,8.362e-02,2.933e-02
6.000e-01,7.625e-02,2.826e-02
8.000e-01,6.605e-02,2.681e-02
1.000e+00,5.901e-02,2.562e-02
1.250e+00,5.261e-02,2.428e-02
1.500e+00,4.803e-02,2.316e-02
2.000e+00,4.205e-02,2.160e-02
3.000e+00,3.599e-02,2.023e-02
4.000e+00,3.318e-02,1.989e-02
5.000e+00,3.177e-02,1.998e-02
6.000e+00,3.108e-02,2.027e-02
8.000e+00,3.074e-02,2.100e-02
1.000e+01,3.103e-02,2.174e-02
1.500e+01,3.247e-02,2.309e-02
2.000e+01,3.408e-02,2.387e-02
# end of file
