# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z30.html
# 
# Zinc
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,1.553e+03,1.548e+03
1.010e-03,1.518e+03,1.513e+03
1.020e-03,1.484e+03,1.478e+03
1.020e-03,3.804e+03,3.777e+03
1.031e-03,5.097e+03,5.057e+03
1.043e-03,6.518e+03,6.464e+03
1.043e-03,8.274e+03,8.202e+03
1.116e-03,8.452e+03,8.382e+03
1.194e-03,7.371e+03,7.312e+03
1.194e-03,8.396e+03,8.328e+03
1.500e-03,4.825e+03,4.791e+03
2.000e-03,2.375e+03,2.359e+03
3.000e-03,8.311e+02,8.244e+02
4.000e-03,3.865e+02,3.820e+02
5.000e-03,2.118e+02,2.082e+02
6.000e-03,1.290e+02,1.261e+02
8.000e-03,5.875e+01,5.660e+01
9.659e-03,3.505e+01,3.332e+01
9.659e-03,2.536e+02,1.599e+02
1.000e-02,2.331e+02,1.497e+02
1.500e-02,8.117e+01,6.099e+01
2.000e-02,3.719e+01,2.986e+01
3.000e-02,1.207e+01,1.018e+01
4.000e-02,5.384e+00,4.570e+00
5.000e-02,2.892e+00,2.419e+00
6.000e-02,1.760e+00,1.429e+00
8.000e-02,8.364e-01,6.203e-01
1.000e-01,4.973e-01,3.278e-01
1.500e-01,2.341e-01,1.128e-01
2.000e-01,1.617e-01,6.225e-02
3.000e-01,1.141e-01,3.764e-02
4.000e-01,9.539e-02,3.195e-02
5.000e-01,8.450e-02,2.979e-02
6.000e-01,7.695e-02,2.861e-02
8.000e-01,6.656e-02,2.704e-02
1.000e+00,5.941e-02,2.580e-02
1.250e+00,5.296e-02,2.443e-02
1.500e+00,4.834e-02,2.329e-02
2.000e+00,4.235e-02,2.174e-02
3.000e+00,3.634e-02,2.041e-02
4.000e+00,3.360e-02,2.014e-02
5.000e+00,3.225e-02,2.028e-02
6.000e+00,3.160e-02,2.061e-02
8.000e+00,3.138e-02,2.143e-02
1.000e+01,3.175e-02,2.223e-02
1.500e+01,3.335e-02,2.367e-02
2.000e+01,3.509e-02,2.451e-02
# end of file
