# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z35.html
# 
# Bromine
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.624e+03,2.618e+03
1.500e-03,1.002e+03,9.964e+02
1.550e-03,9.255e+02,9.200e+02
1.550e-03,4.289e+03,4.223e+03
1.573e-03,3.838e+03,3.780e+03
1.596e-03,3.587e+03,3.534e+03
1.596e-03,5.097e+03,5.014e+03
1.686e-03,4.595e+03,4.523e+03
1.782e-03,3.969e+03,3.910e+03
1.782e-03,4.495e+03,4.427e+03
2.000e-03,3.407e+03,3.360e+03
3.000e-03,1.231e+03,1.216e+03
4.000e-03,5.815e+02,5.740e+02
5.000e-03,3.213e+02,3.163e+02
6.000e-03,1.968e+02,1.930e+02
8.000e-03,9.026e+01,8.756e+01
1.000e-02,4.912e+01,4.706e+01
1.347e-02,2.176e+01,2.033e+01
1.347e-02,1.471e+02,7.668e+01
1.500e-02,1.119e+02,6.336e+01
2.000e-02,5.266e+01,3.502e+01
3.000e-02,1.753e+01,1.328e+01
4.000e-02,7.900e+00,6.267e+00
5.000e-02,4.264e+00,3.431e+00
6.000e-02,2.582e+00,2.068e+00
8.000e-02,1.198e+00,9.185e-01
1.000e-01,6.861e-01,4.890e-01
1.500e-01,2.899e-01,1.634e-01
2.000e-01,1.838e-01,8.378e-02
3.000e-01,1.186e-01,4.360e-02
4.000e-01,9.563e-02,3.398e-02
5.000e-01,8.328e-02,3.036e-02
6.000e-01,7.515e-02,2.851e-02
8.000e-01,6.443e-02,2.640e-02
1.000e+00,5.728e-02,2.496e-02
1.250e+00,5.094e-02,2.350e-02
1.500e+00,4.650e-02,2.237e-02
2.000e+00,4.089e-02,2.092e-02
3.000e+00,3.552e-02,1.991e-02
4.000e+00,3.327e-02,1.995e-02
5.000e+00,3.229e-02,2.036e-02
6.000e+00,3.194e-02,2.090e-02
8.000e+00,3.218e-02,2.207e-02
1.000e+01,3.293e-02,2.314e-02
1.500e+01,3.521e-02,2.507e-02
2.000e+01,3.738e-02,2.618e-02
# end of file
