# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z36.html
# 
# Krypton
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,2.854e+03,2.848e+03
1.500e-03,1.093e+03,1.087e+03
1.675e-03,8.361e+02,8.305e+02
1.675e-03,3.909e+03,3.842e+03
1.701e-03,3.409e+03,3.352e+03
1.727e-03,3.166e+03,3.114e+03
1.727e-03,4.566e+03,4.484e+03
1.822e-03,4.014e+03,3.945e+03
1.921e-03,3.482e+03,3.425e+03
1.921e-03,3.948e+03,3.882e+03
2.000e-03,3.599e+03,3.541e+03
3.000e-03,1.305e+03,1.288e+03
4.000e-03,6.186e+02,6.101e+02
5.000e-03,3.425e+02,3.371e+02
6.000e-03,2.101e+02,2.060e+02
8.000e-03,9.651e+01,9.371e+01
1.000e-02,5.257e+01,5.044e+01
1.433e-02,1.971e+01,1.836e+01
1.433e-02,1.313e+02,6.604e+01
1.500e-02,1.168e+02,6.112e+01
2.000e-02,5.548e+01,3.509e+01
3.000e-02,1.854e+01,1.365e+01
4.000e-02,8.389e+00,6.538e+00
5.000e-02,4.523e+00,3.596e+00
6.000e-02,2.739e+00,2.178e+00
8.000e-02,1.267e+00,9.729e-01
1.000e-01,7.221e-01,5.192e-01
1.500e-01,2.998e-01,1.731e-01
2.000e-01,1.872e-01,8.787e-02
3.000e-01,1.186e-01,4.459e-02
4.000e-01,9.480e-02,3.414e-02
5.000e-01,8.226e-02,3.023e-02
6.000e-01,7.410e-02,2.825e-02
8.000e-01,6.340e-02,2.603e-02
1.000e+00,5.631e-02,2.456e-02
1.250e+00,5.005e-02,2.310e-02
1.500e+00,4.569e-02,2.197e-02
2.000e+00,4.020e-02,2.055e-02
3.000e+00,3.501e-02,1.961e-02
4.000e+00,3.286e-02,1.969e-02
5.000e+00,3.196e-02,2.014e-02
6.000e+00,3.168e-02,2.071e-02
8.000e+00,3.199e-02,2.192e-02
1.000e+01,3.280e-02,2.302e-02
1.500e+01,3.518e-02,2.497e-02
2.000e+01,3.741e-02,2.610e-02
# end of file
