# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z38.html
# 
# Strontium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.494e+03,3.487e+03
1.500e-03,1.347e+03,1.341e+03
1.940e-03,7.207e+02,7.152e+02
1.940e-03,2.864e+03,2.807e+03
2.000e-03,2.589e+03,2.539e+03
2.007e-03,2.571e+03,2.521e+03
2.007e-03,3.577e+03,3.501e+03
2.109e-03,3.201e+03,3.134e+03
2.216e-03,2.842e+03,2.786e+03
2.216e-03,3.241e+03,3.176e+03
3.000e-03,1.525e+03,1.500e+03
4.000e-03,7.297e+02,7.181e+02
5.000e-03,4.058e+02,3.988e+02
6.000e-03,2.496e+02,2.446e+02
8.000e-03,1.150e+02,1.118e+02
1.000e-02,6.274e+01,6.037e+01
1.500e-02,2.079e+01,1.938e+01
1.610e-02,1.714e+01,1.585e+01
1.610e-02,1.108e+02,5.200e+01
2.000e-02,6.386e+01,3.602e+01
3.000e-02,2.157e+01,1.493e+01
4.000e-02,9.818e+00,7.346e+00
5.000e-02,5.306e+00,4.103e+00
6.000e-02,3.214e+00,2.511e+00
8.000e-02,1.481e+00,1.135e+00
1.000e-01,8.365e-01,6.093e-01
1.500e-01,3.369e-01,2.028e-01
2.000e-01,2.042e-01,1.013e-01
3.000e-01,1.247e-01,4.906e-02
4.000e-01,9.811e-02,3.634e-02
5.000e-01,8.443e-02,3.156e-02
6.000e-01,7.570e-02,2.917e-02
8.000e-01,6.447e-02,2.660e-02
1.000e+00,5.714e-02,2.498e-02
1.250e+00,5.072e-02,2.342e-02
1.500e+00,4.630e-02,2.225e-02
2.000e+00,4.079e-02,2.082e-02
3.000e+00,3.569e-02,1.995e-02
4.000e+00,3.365e-02,2.013e-02
5.000e+00,3.286e-02,2.066e-02
6.000e+00,3.268e-02,2.130e-02
8.000e+00,3.317e-02,2.260e-02
1.000e+01,3.414e-02,2.377e-02
1.500e+01,3.683e-02,2.578e-02
2.000e+01,3.927e-02,2.684e-02
# end of file
