# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z39.html
# 
# Yttrium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,3.864e+03,3.857e+03
1.500e-03,1.493e+03,1.487e+03
2.000e-03,7.422e+02,7.365e+02
2.080e-03,6.738e+02,6.682e+02
2.080e-03,2.627e+03,2.569e+03
2.117e-03,2.466e+03,2.412e+03
2.155e-03,2.342e+03,2.292e+03
2.155e-03,3.264e+03,3.187e+03
2.261e-03,2.916e+03,2.849e+03
2.373e-03,2.597e+03,2.540e+03
2.373e-03,2.962e+03,2.897e+03
3.000e-03,1.654e+03,1.623e+03
4.000e-03,7.936e+02,7.798e+02
5.000e-03,4.424e+02,4.344e+02
6.000e-03,2.725e+02,2.670e+02
8.000e-03,1.258e+02,1.224e+02
1.000e-02,6.871e+01,6.619e+01
1.500e-02,2.279e+01,2.130e+01
1.704e-02,1.612e+01,1.486e+01
1.704e-02,1.029e+02,4.672e+01
2.000e-02,6.855e+01,3.620e+01
3.000e-02,2.330e+01,1.558e+01
4.000e-02,1.065e+01,7.790e+00
5.000e-02,5.764e+00,4.388e+00
6.000e-02,3.493e+00,2.699e+00
8.000e-02,1.607e+00,1.228e+00
1.000e-01,9.047e-01,6.616e-01
1.500e-01,3.595e-01,2.203e-01
2.000e-01,2.149e-01,1.093e-01
3.000e-01,1.289e-01,5.186e-02
4.000e-01,1.006e-01,3.779e-02
5.000e-01,8.613e-02,3.249e-02
6.000e-01,7.703e-02,2.986e-02
8.000e-01,6.546e-02,2.708e-02
1.000e+00,5.795e-02,2.537e-02
1.250e+00,5.141e-02,2.375e-02
1.500e+00,4.692e-02,2.254e-02
2.000e+00,4.137e-02,2.109e-02
3.000e+00,3.628e-02,2.026e-02
4.000e+00,3.428e-02,2.048e-02
5.000e+00,3.355e-02,2.107e-02
6.000e+00,3.341e-02,2.174e-02
8.000e+00,3.399e-02,2.311e-02
1.000e+01,3.504e-02,2.432e-02
1.500e+01,3.790e-02,2.638e-02
2.000e+01,4.048e-02,2.746e-02
# end of file
