# Data Source: NIST
# For more information see 
# http://physics.nist.gov/PhysRefData/XrayMassCoef/tab3.html
# For definitions see http://physics.nist.gov/PhysRefData/XrayMassCoef/chap2.html
# url: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z40.html
# 
# Zirconium
# 
# energy, mu/rho, mu_en/rho
# meV, cm2/g, cm2/g
1.000e-03,4.210e+03,4.203e+03
1.500e-03,1.631e+03,1.625e+03
2.000e-03,8.115e+02,8.057e+02
2.222e-03,6.258e+02,6.201e+02
2.222e-03,2.392e+03,2.335e+03
2.264e-03,2.239e+03,2.186e+03
2.307e-03,2.120e+03,2.071e+03
2.307e-03,2.953e+03,2.878e+03
2.417e-03,2.641e+03,2.575e+03
2.532e-03,2.359e+03,2.303e+03
2.532e-03,2.691e+03,2.627e+03
3.000e-03,1.772e+03,1.734e+03
4.000e-03,8.507e+02,8.344e+02
5.000e-03,4.755e+02,4.664e+02
6.000e-03,2.935e+02,2.873e+02
8.000e-03,1.356e+02,1.320e+02
1.000e-02,7.417e+01,7.150e+01
1.500e-02,2.463e+01,2.308e+01
1.800e-02,1.501e+01,1.380e+01
1.800e-02,9.470e+01,4.164e+01
2.000e-02,7.237e+01,3.555e+01
3.000e-02,2.485e+01,1.600e+01
4.000e-02,1.139e+01,8.129e+00
5.000e-02,6.173e+00,4.621e+00
6.000e-02,3.744e+00,2.859e+00
8.000e-02,1.721e+00,1.310e+00
1.000e-01,9.658e-01,7.080e-01
1.500e-01,3.790e-01,2.361e-01
2.000e-01,2.237e-01,1.164e-01
3.000e-01,1.318e-01,5.420e-02
4.000e-01,1.018e-01,3.885e-02
5.000e-01,8.693e-02,3.311e-02
6.000e-01,7.756e-02,3.025e-02
8.000e-01,6.571e-02,2.726e-02
1.000e+00,5.810e-02,2.547e-02
1.250e+00,5.150e-02,2.380e-02
1.500e+00,4.700e-02,2.257e-02
2.000e+00,4.146e-02,2.112e-02
3.000e+00,3.644e-02,2.033e-02
4.000e+00,3.451e-02,2.061e-02
5.000e+00,3.384e-02,2.123e-02
6.000e+00,3.374e-02,2.193e-02
8.000e+00,3.441e-02,2.335e-02
1.000e+01,3.554e-02,2.460e-02
1.500e+01,3.855e-02,2.670e-02
2.000e+01,4.122e-02,2.778e-02
# end of file
